"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","9","0.0-0.0","","","","","","","","","",""
"instructions","1","3455","0.0-1.0","[{""page_index"":0,""viewing_time"":3445}]","3445","","","","","","","",""
"","","","","","","fullscreenenter","2","5108","fullscreenenter","","","",""
"fullscreen","2","6088","0.0-2.0","","","","","","","true","","",""
"instructions","3","16013","0.0-4.0","[{""page_index"":0,""viewing_time"":5269},{""page_index"":1,""viewing_time"":4654}]","9923","","","","","","","",""
"instructions","4","16941","0.0-5.0","[{""page_index"":0,""viewing_time"":927}]","927","","","","","","","",""
"image-keyboard-response","5","20990","0.0-6.0-1.0","","3935","","","","rating","","trustrating_stim/white_mw099.bmp","4",""
"image-keyboard-response","6","21195","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null",""
"image-keyboard-response","7","23807","0.0-6.0-1.1","","2504","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","3",""
"image-keyboard-response","8","24010","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null",""
"image-keyboard-response","9","25853","0.0-6.0-1.2","","1735","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","6",""
"image-keyboard-response","10","26060","0.0-6.0-2.2","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null",""
"image-keyboard-response","11","27613","0.0-6.0-1.3","","1446","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","2",""
"image-keyboard-response","12","27825","0.0-6.0-2.3","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null",""
"image-keyboard-response","13","30589","0.0-6.0-1.4","","2656","","","","rating","","trustrating_stim/white_00898_960530_fa_edt.bmp","7",""
"image-keyboard-response","14","30792","0.0-6.0-2.4","","null","","","","ratingFB","","trustrating_stim/white_00898_960530_fa_edt.bmp","null",""
"image-keyboard-response","15","34639","0.0-6.0-1.5","","3739","","","","rating","","trustrating_stim/white_mw056.bmp","6",""
"image-keyboard-response","16","34856","0.0-6.0-2.5","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null",""
"image-keyboard-response","17","37053","0.0-6.0-1.6","","2089","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","3",""
"image-keyboard-response","18","37256","0.0-6.0-2.6","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null",""
"image-keyboard-response","19","38701","0.0-6.0-1.7","","1338","","","","rating","","trustrating_stim/white_mw035.bmp","2",""
"image-keyboard-response","20","38906","0.0-6.0-2.7","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null",""
"image-keyboard-response","21","40765","0.0-6.0-1.8","","1752","","","","rating","","trustrating_stim/white_mw053.bmp","2",""
"image-keyboard-response","22","40972","0.0-6.0-2.8","","null","","","","ratingFB","","trustrating_stim/white_mw053.bmp","null",""
"image-keyboard-response","23","42158","0.0-6.0-1.9","","1078","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","1",""
