"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"blur","0","0","blurevent","1","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","pavlovia","0","9","0.0-0.0","","","","","","","","","","","","","",""
"focus","1","5599","focusevent","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","instructions","1","10396","0.0-1.0","[{""page_index"":0,""viewing_time"":10385}]","10385","","","","","","","","","","","",""
"fullscreenenter","2","13668","fullscreenenter","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","fullscreen","2","14653","0.0-2.0","","","true","","","","","","","","","","",""
"","","","","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","instructions","3","40447","0.0-4.0","[{""page_index"":0,""viewing_time"":13776},{""page_index"":1,""viewing_time"":12014}]","25791","","","","","","","","","","","",""
"","","","","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","instructions","4","46933","0.0-5.0","[{""page_index"":0,""viewing_time"":6484}]","6484","","","","","","","","","","","",""
"","","","rating","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","5","58118","0.0-6.0-1.0","","11081","","trustrating_stim/white_00658_941121_fb_edt.bmp","6","","","","","","","","",""
"","","","ratingFB","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","6","58320","0.0-6.0-2.0","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","7","61487","0.0-6.0-1.1","","3065","","trustrating_stim/white_00785_941205_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","8","61691","0.0-6.0-2.1","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","9","63245","0.0-6.0-1.2","","1452","","trustrating_stim/white_00761_941201_fb_edt.bmp","8","","","","","","","","",""
"","","","ratingFB","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","10","63448","0.0-6.0-2.2","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","11","65157","0.0-6.0-1.3","","1606","","trustrating_stim/white_00757_941201_fa_edt.bmp","7","","","","","","","","",""
"","","","ratingFB","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","12","65359","0.0-6.0-2.3","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","13","66924","0.0-6.0-1.4","","1462","","trustrating_stim/white_mw012.bmp","3","","","","","","","","",""
"","","","ratingFB","","5fa774ae1bcae04f0bd898b3","bdp_trlrn","Tue May 11 2021 15:36:11 GMT-0400 (Eastern Daylight Time)","592714","Untrustworthy,Trustworthy","image-keyboard-response","14","67127","0.0-6.0-2.4","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
