"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","15","0.0-0.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"instructions","1","523015","0.0-1.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":522993}]","522993","","","","","","","","","","","","","","","",""
"","","","","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","","fullscreenenter","2","658824","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","659797","0.0-2.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","",""
"instructions","3","684382","0.0-4.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":20074},{""page_index"":1,""viewing_time"":4502}]","24578","","","","","","","","","","","","","","","",""
"instructions","4","686510","0.0-5.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2120}]","2124","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","688100","0.0-6.0-1.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","1484","","","","rating","","trustrating_stim/white_mw040.bmp","1","","","","","","","","",""
"image-keyboard-response","6","688306","0.0-6.0-2.0","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw040.bmp","null","","","","","","","","",""
"image-keyboard-response","7","689700","0.0-6.0-1.1","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","1285","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","2","","","","","","","","",""
"image-keyboard-response","8","689905","0.0-6.0-2.1","5d4100b7c983e80001746d50","bdp_trlrn","Tue May 11 2021 13:14:16 GMT-0500 (Central Daylight Time)","1165593","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
