"event","trial","time","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs"
"focus","0","0","focusevent","","","","","","","","","",""
"","","","","pavlovia","0","9","0.0-0.0","","","","","",""
"","","","","instructions","1","4723","0.0-1.0","[{""page_index"":0,""viewing_time"":4713}]","4713","","","",""
"fullscreenexit","2","6366","fullscreenexit","","","","","","","","","",""
"","","","","fullscreen","2","7147","0.0-2.0","","","true","","",""
"","","","fullscreenfail","image-keyboard-response","3","15260","0.0-3.0-0.0","","8109","","","32",""
"blur","4","17166","blurevent","","","","","","","","","","1"
"focus","4","17218","focusevent","","","","","","","","","",""
"fullscreenexit","4","17240","fullscreenexit","","","","","","","","","",""
"blur","4","20438","blurevent","","","","","","","","","",""
"focus","4","20438","focusevent","","","","","","","","","",""
"blur","4","20448","blurevent","","","","","","","","","",""
