"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","",""
"","","","","blur","1","4265","blurevent","1"
"","","","","focus","1","6441","focusevent",""
"","","","","blur","1","10440","blurevent",""
"","","","","focus","1","12007","focusevent",""
"","","","","blur","1","22007","blurevent",""
"","","","","focus","1","204683","focusevent",""
"","","","","blur","1","209206","blurevent",""
"","","","","focus","1","535075","focusevent",""
"","","","","blur","1","540940","blurevent",""
"","","","","focus","1","1666516","focusevent",""
"","","","","blur","1","1669566","blurevent",""
"","","","","focus","1","1669567","focusevent",""
