"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","instructions","1","35028","0.0-1.0","[{""page_index"":0,""viewing_time"":35022}]","35022","","","","","","","","","","","","",""
"blur","2","39524","blurevent","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","","","","","","","1","","","","","","","","","","","",""
"focus","2","39540","focusevent","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","39548","fullscreenexit","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","fullscreen","2","40310","0.0-2.0","","","","true","","","","","","","","","","",""
"","","","fullscreenfail","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","3","44131","0.0-3.0-0.0","","3819","","","","32","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","instructions","4","79186","0.0-4.0","[{""page_index"":0,""viewing_time"":19326},{""page_index"":1,""viewing_time"":15473}]","34799","","","","","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","instructions","5","80411","0.0-5.0","[{""page_index"":0,""viewing_time"":1223}]","1223","","","","","","","","","","","","",""
