"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","success","event","trial","time","trialtype","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","4","0.0-0.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","5050","0.0-1.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":5046}]","5046","","","","","","","","","","","","","","","","","",""
"fullscreen","2","8542","0.0-2.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","","true","","","","","","","","","","","","","","","","",""
"","","","","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","","","fullscreenenter","3","8996","fullscreenenter","","","","","","","","","","","","",""
"image-keyboard-response","3","18320","0.0-3.0-0.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","9775","","","","","fullscreenfail","","32","","","","","","","","","","",""
"instructions","4","41047","0.0-4.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":7580},{""page_index"":1,""viewing_time"":14896}]","22476","","","","","","","","","","","","","","","","","",""
"instructions","5","42182","0.0-5.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":1134}]","1134","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","6","49143","0.0-6.0-1.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","6859","","","","","rating","trustrating_stim/white_mw063.bmp","5","","","","","","","","","","",""
"image-keyboard-response","7","49344","0.0-6.0-2.0","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","8","57737","0.0-6.0-1.1","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","8290","","","","","rating","trustrating_stim/white_00299_940422_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","9","57939","0.0-6.0-2.1","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","10","59543","0.0-6.0-1.2","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","1503","","","","","rating","trustrating_stim/white_mw046.bmp","5","","","","","","","","","","",""
"image-keyboard-response","11","59745","0.0-6.0-2.2","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"image-keyboard-response","12","61712","0.0-6.0-1.3","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","1865","","","","","rating","trustrating_stim/white_00761_941201_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","13","61914","0.0-6.0-2.3","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","14","62975","0.0-6.0-1.4","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","959","","","","","rating","trustrating_stim/white_mw053.bmp","5","","","","","","","","","","",""
"image-keyboard-response","15","63176","0.0-6.0-2.4","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"image-keyboard-response","16","64200","0.0-6.0-1.5","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","922","","","","","rating","trustrating_stim/white_mw056.bmp","5","","","","","","","","","","",""
"image-keyboard-response","17","64402","0.0-6.0-2.5","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"image-keyboard-response","18","66089","0.0-6.0-1.6","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","1586","","","","","rating","trustrating_stim/white_00898_960530_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","19","66290","0.0-6.0-2.6","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","20","67449","0.0-6.0-1.7","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","1057","","","","","rating","trustrating_stim/white_mw089.bmp","5","","","","","","","","","","",""
"image-keyboard-response","21","67651","0.0-6.0-2.7","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"image-keyboard-response","22","69624","0.0-6.0-1.8","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","1870","","","","","rating","trustrating_stim/white_00223_940128_fb_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","23","69826","0.0-6.0-2.8","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","24","71815","0.0-6.0-1.9","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","1887","","","","","rating","trustrating_stim/white_mw035.bmp","5","","","","","","","","","","",""
"image-keyboard-response","25","72016","0.0-6.0-2.9","5c2a9b55867f660001af0515","bdp_trlrn","Tue Mar 14 2023 00:14:27 GMT-0400 (Eastern Daylight Time)","650145","Trustworthy,Untrustworthy","","null","","","","","ratingFB","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
