"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","numBlurs"
"pavlovia","0","33","0.0-0.0","","","","",""
"","","","","focus","1","4486644","focusevent",""
"","","","","blur","1","4491379","blurevent","1"
"","","","","focus","1","11471775","focusevent",""
"","","","","blur","1","11472804","blurevent",""
"","","","","focus","1","12177222","focusevent",""
"","","","","blur","1","12178992","blurevent",""
"","","","","focus","1","12196337","focusevent",""
"","","","","blur","1","12198169","blurevent",""
"","","","","focus","1","34014122","focusevent",""
"","","","","blur","1","34016172","blurevent",""
"","","","","focus","1","34017800","focusevent",""
"","","","","blur","1","34019646","blurevent",""
"","","","","focus","1","34027808","focusevent",""
"","","","","blur","1","34028621","blurevent",""
"","","","","focus","1","34099836","focusevent",""
"","","","","blur","1","34107970","blurevent",""
"","","","","focus","1","34140664","focusevent",""
"","","","","blur","1","34143361","blurevent",""
"","","","","focus","1","34158147","focusevent",""
"","","","","blur","1","34161240","blurevent",""
"","","","","focus","1","34162905","focusevent",""
"","","","","blur","1","34163359","blurevent",""
"","","","","focus","1","34164619","focusevent",""
"","","","","blur","1","34165955","blurevent",""
"","","","","focus","1","35271127","focusevent",""
"","","","","blur","1","35272482","blurevent",""
"","","","","focus","1","39999728","focusevent",""
"","","","","blur","1","40001213","blurevent",""
"","","","","focus","1","40002353","focusevent",""
"","","","","blur","1","40003687","blurevent",""
"","","","","focus","1","46178353","focusevent",""
"","","","","blur","1","46180202","blurevent",""
