"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","4","0.0-0.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"instructions","1","4282","0.0-1.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":4277}]","4277","","","","","","","","","","","","","","","",""
"","","","","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","","fullscreenenter","2","9024","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","10021","0.0-2.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","",""
"instructions","3","19412","0.0-4.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":7677},{""page_index"":1,""viewing_time"":1713}]","9390","","","","","","","","","","","","","","","",""
"instructions","4","23062","0.0-5.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":3649}]","3649","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","36665","0.0-6.0-1.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","13496","","","","rating","","trustrating_stim/white_00657_941121_fa_edt.bmp","6","","","","","","","","",""
"image-keyboard-response","6","36867","0.0-6.0-2.0","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","7","38893","0.0-6.0-1.1","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","1919","","","","rating","","trustrating_stim/white_mw080.bmp","3","","","","","","","","",""
"image-keyboard-response","8","39095","0.0-6.0-2.1","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw080.bmp","null","","","","","","","","",""
"image-keyboard-response","9","44468","0.0-6.0-1.2","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","5264","","","","rating","","trustrating_stim/white_00120_931230_fa_edt.bmp","8","","","","","","","","",""
"image-keyboard-response","10","44670","0.0-6.0-2.2","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","11","46540","0.0-6.0-1.3","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","1769","","","","rating","","trustrating_stim/white_mw043.bmp","3","","","","","","","","",""
"image-keyboard-response","12","46742","0.0-6.0-2.3","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw043.bmp","null","","","","","","","","",""
"image-keyboard-response","13","47748","0.0-6.0-1.4","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","905","","","","rating","","trustrating_stim/white_00960_960627_fb_edt.bmp","3","","","","","","","","",""
"image-keyboard-response","14","47950","0.0-6.0-2.4","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","15","49142","0.0-6.0-1.5","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","1091","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","8","","","","","","","","",""
"image-keyboard-response","16","49344","0.0-6.0-2.5","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","17","52295","0.0-6.0-1.6","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","2850","","","","rating","","trustrating_stim/white_mw057.bmp","2","","","","","","","","",""
"image-keyboard-response","18","52496","0.0-6.0-2.6","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw057.bmp","null","","","","","","","","",""
"image-keyboard-response","19","53721","0.0-6.0-1.7","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","1123","","","","rating","","trustrating_stim/white_mw051.bmp","3","","","","","","","","",""
"image-keyboard-response","20","53923","0.0-6.0-2.7","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw051.bmp","null","","","","","","","","",""
"image-keyboard-response","21","56232","0.0-6.0-1.8","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","2207","","","","rating","","trustrating_stim/white_mw044.bmp","5","","","","","","","","",""
"image-keyboard-response","22","56434","0.0-6.0-2.8","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw044.bmp","null","","","","","","","","",""
"image-keyboard-response","23","60855","0.0-6.0-1.9","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","4310","","","","rating","","trustrating_stim/white_00253_940128_fa_edt.bmp","5","","","","","","","","",""
"image-keyboard-response","24","61056","0.0-6.0-2.9","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","25","63755","0.0-6.0-1.10","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","2597","","","","rating","","trustrating_stim/white_mw089.bmp","3","","","","","","","","",""
"image-keyboard-response","26","63956","0.0-6.0-2.10","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null","","","","","","","","",""
"image-keyboard-response","27","66773","0.0-6.0-1.11","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","2716","","","","rating","","trustrating_stim/white_mw012.bmp","4","","","","","","","","",""
"image-keyboard-response","28","66975","0.0-6.0-2.11","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"image-keyboard-response","29","69319","0.0-6.0-1.12","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","2242","","","","rating","","trustrating_stim/white_mw072.bmp","5","","","","","","","","",""
"image-keyboard-response","30","69520","0.0-6.0-2.12","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw072.bmp","null","","","","","","","","",""
"image-keyboard-response","31","71805","0.0-6.0-1.13","6062ee8dce4c312a82168de1","bdp_trlrn","Tue May 11 2021 21:46:28 GMT-0500 (Central Daylight Time)","658089","Untrustworthy,Trustworthy","","2183","","","","rating","","trustrating_stim/white_mw097.bmp","3","","","","","","","","",""
