"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","9","0.0-0.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","9861","0.0-1.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":9849}]","9849","","","","","","","","","","","","","","","","","","",""
"","","","","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","","fullscreenenter","2","61749","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","62745","0.0-2.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","","",""
"","","","","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","","fullscreenexit","3","68281","fullscreenexit","","","","","","","","","","","","","","",""
"","","","","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","","blur","3","70838","blurevent","","1","","","","","","","","","","","","",""
"","","","","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","","focus","3","73082","focusevent","","","","","","","","","","","","","","",""
"instructions","3","163293","0.0-4.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":36034},{""page_index"":1,""viewing_time"":64511}]","100546","","","","","","","","","","","","","","","","","","",""
"instructions","4","165276","0.0-5.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":1981}]","1982","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","169725","0.0-6.0-1.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","4342","","","","rating","","","trustrating_stim/white_00761_941201_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","6","169935","0.0-6.0-2.0","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","174021","0.0-6.0-1.1","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","3975","","","","rating","","","trustrating_stim/white_00299_940422_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","8","174230","0.0-6.0-2.1","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","177500","0.0-6.0-1.2","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","3160","","","","rating","","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","10","177706","0.0-6.0-2.2","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","181996","0.0-6.0-1.3","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","4185","","","","rating","","","trustrating_stim/white_mw049.bmp","2","","","","","","","","","","",""
"image-keyboard-response","12","182205","0.0-6.0-2.3","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","185925","0.0-6.0-1.4","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","3606","","","","rating","","","trustrating_stim/white_mw099.bmp","2","","","","","","","","","","",""
"image-keyboard-response","14","186130","0.0-6.0-2.4","63e711bb284d2bc894a057a6","bdp_trlrn","Sun Mar 12 2023 22:50:09 GMT-0500 (Central Daylight Time)","1613075","Trustworthy,Untrustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
