"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","1","0.0-0.0","","","","","","","","","",""
"instructions","1","843","0.0-1.0","[{""page_index"":0,""viewing_time"":841}]","841","","","","","","","",""
"","","","","","","fullscreenenter","2","2380","fullscreenenter","","","",""
"fullscreen","2","3358","0.0-2.0","","","","","","","true","","",""
"instructions","3","4459","0.0-4.0","[{""page_index"":0,""viewing_time"":693},{""page_index"":1,""viewing_time"":408}]","1101","","","","","","","",""
"instructions","4","5301","0.0-5.0","[{""page_index"":0,""viewing_time"":840}]","840","","","","","","","",""
"image-keyboard-response","5","6766","0.0-6.0-1.0","","1360","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","7",""
"image-keyboard-response","6","6967","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null",""
"image-keyboard-response","7","7155","0.0-6.0-1.1","","85","","","","rating","","trustrating_stim/white_mw025.bmp","7",""
"image-keyboard-response","8","7358","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_mw025.bmp","null",""
"image-keyboard-response","9","7584","0.0-6.0-1.2","","126","","","","rating","","trustrating_stim/white_mw054.bmp","4",""
"image-keyboard-response","10","7785","0.0-6.0-2.2","","null","","","","ratingFB","","trustrating_stim/white_mw054.bmp","null",""
"image-keyboard-response","11","7922","0.0-6.0-1.3","","36","","","","rating","","trustrating_stim/white_mw022.bmp","7",""
"image-keyboard-response","12","8125","0.0-6.0-2.3","","null","","","","ratingFB","","trustrating_stim/white_mw022.bmp","null",""
"image-keyboard-response","13","8285","0.0-6.0-1.4","","58","","","","rating","","trustrating_stim/white_mw004.bmp","4",""
"image-keyboard-response","14","8492","0.0-6.0-2.4","","null","","","","ratingFB","","trustrating_stim/white_mw004.bmp","null",""
"instructions","15","9419","0.0-7.0","[{""page_index"":0,""viewing_time"":826}]","826","","","","","","","",""
"","","","","","","fullscreenexit","16","12648","fullscreenexit","","","",""
"","","","","","","blur","16","15301","blurevent","","","","1"
"","","","","","","focus","16","23687","focusevent","","","",""
"","","","","","","blur","16","26694","blurevent","","","",""
"","","","","","","focus","16","35041","focusevent","","","",""
"","","","","","","blur","16","2871648","blurevent","","","",""
"","","","","","","focus","16","4255051","focusevent","","","",""
"","","","","","","blur","16","4259306","blurevent","","","",""
"","","","","","","focus","16","4262860","focusevent","","","",""
"","","","","","","blur","16","4264262","blurevent","","","",""
"","","","","","","focus","16","61275363","focusevent","","","",""
"","","","","","","blur","16","61277926","blurevent","","","",""
"","","","","","","focus","16","65882019","focusevent","","","",""
"","","","","","","blur","16","65907365","blurevent","","","",""
"","","","","","","focus","16","65911311","focusevent","","","",""
"","","","","","","blur","16","65911844","blurevent","","","",""
"","","","","","","focus","16","65914646","focusevent","","","",""
"","","","","","","blur","16","65916850","blurevent","","","",""
"","","","","","","focus","16","66013605","focusevent","","","",""
"","","","","","","blur","16","66026120","blurevent","","","",""
"","","","","","","focus","16","69285200","focusevent","","","",""
"","","","","","","blur","16","69299163","blurevent","","","",""
"","","","","","","focus","16","69299876","focusevent","","","",""
"","","","","","","blur","16","69301133","blurevent","","","",""
"","","","","","","focus","16","69636873","focusevent","","","",""
"","","","","","","blur","16","69641371","blurevent","","","",""
"","","","","","","focus","16","170309945","focusevent","","","",""
"","","","","","","blur","16","170315369","blurevent","","","",""
"","","","","","","focus","16","170404692","focusevent","","","",""
"","","","","","","blur","16","170405730","blurevent","","","",""
"","","","","","","focus","16","172126973","focusevent","","","",""
"","","","","","","blur","16","172136370","blurevent","","","",""
