"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","11","0.0-0.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","32033","0.0-1.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":32019}]","32019","","","","","","","","","","","","","","","","","","",""
"","","","","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","","blur","2","39767","blurevent","1","","","","","","","","","","","","","",""
"","","","","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","","focus","2","42655","focusevent","","","","","","","","","","","","","","",""
"","","","","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","","fullscreenenter","2","42767","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","43721","0.0-2.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","116623","0.0-4.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":17243},{""page_index"":1,""viewing_time"":55653}]","72897","","","","","","","","","","","","","","","","","","",""
"instructions","4","130119","0.0-5.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":13493}]","13494","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","131451","0.0-6.0-1.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1222","","","","rating","","","trustrating_stim/white_mw035.bmp","3","","","","","","","","","","",""
"image-keyboard-response","6","131659","0.0-6.0-2.0","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","133072","0.0-6.0-1.1","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1294","","","","rating","","","trustrating_stim/white_mw060.bmp","2","","","","","","","","","","",""
"image-keyboard-response","8","133281","0.0-6.0-2.1","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","134328","0.0-6.0-1.2","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","938","","","","rating","","","trustrating_stim/white_00807_941205_fb_edt.bmp","8","","","","","","","","","","",""
"image-keyboard-response","10","134542","0.0-6.0-2.2","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","135659","0.0-6.0-1.3","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1002","","","","rating","","","trustrating_stim/white_mw097.bmp","7","","","","","","","","","","",""
"image-keyboard-response","12","135865","0.0-6.0-2.3","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","136994","0.0-6.0-1.4","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1015","","","","rating","","","trustrating_stim/white_00519_940519_fb_edt.bmp","9","","","","","","","","","","",""
"image-keyboard-response","14","137208","0.0-6.0-2.4","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","138368","0.0-6.0-1.5","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1044","","","","rating","","","trustrating_stim/white_mw063.bmp","8","","","","","","","","","","",""
"image-keyboard-response","16","138574","0.0-6.0-2.5","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","140090","0.0-6.0-1.6","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1401","","","","rating","","","trustrating_stim/white_00340_940422_fa_edt.bmp","8","","","","","","","","","","",""
"image-keyboard-response","18","140296","0.0-6.0-2.6","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","141409","0.0-6.0-1.7","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1003","","","","rating","","","trustrating_stim/white_00659_941121_fa_edt.bmp","6","","","","","","","","","","",""
"image-keyboard-response","20","141623","0.0-6.0-2.7","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","21","142914","0.0-6.0-1.8","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","1176","","","","rating","","","trustrating_stim/white_00129_931230_fb_edt.bmp","8","","","","","","","","","","",""
"image-keyboard-response","22","143122","0.0-6.0-2.8","6135752aa4ee5158b0708670","bdp_trlrn","Thu Jul 28 2022 00:39:27 GMT-0400 (hora de verano oriental)","846087","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
