"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","1","0.0-0.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"instructions","1","13232","0.0-1.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":13231}]","13231","","","","","","","","","","","","","","","","",""
"","","","","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","","fullscreenenter","2","15373","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","16358","0.0-2.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","",""
"instructions","3","17631","0.0-4.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":631},{""page_index"":1,""viewing_time"":639}]","1271","","","","","","","","","","","","","","","","",""
"instructions","4","18205","0.0-5.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":572}]","572","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","19402","0.0-6.0-1.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","1093","","","","rating","","trustrating_stim/white_mw006.bmp","1","","","","","","","","","",""
"image-keyboard-response","6","19605","0.0-6.0-2.0","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw006.bmp","null","","","","","","","","","",""
"image-keyboard-response","7","19758","0.0-6.0-1.1","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","50","","","","rating","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","",""
"image-keyboard-response","8","19962","0.0-6.0-2.1","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","",""
"image-keyboard-response","9","20166","0.0-6.0-1.2","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","100","","","","rating","","trustrating_stim/white_00120_931230_fa_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","10","20371","0.0-6.0-2.2","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","11","20543","0.0-6.0-1.3","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","66","","","","rating","","trustrating_stim/white_mw004.bmp","4","","","","","","","","","",""
"image-keyboard-response","12","20745","0.0-6.0-2.3","DAS","bdp_trlrn","Tue Feb 08 2022 16:31:32 GMT-0500 (Eastern Standard Time)","256821","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw004.bmp","null","","","","","","","","","",""
