"event","trial","time","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","numBlurs","stimulus","key_press"
"","","","ratingFB","image-keyboard-response","32","43631","0.0-6.0-2.13","","null","","","trustrating_stim/white_mw060.bmp","null"
"","","","rating","image-keyboard-response","33","44506","0.0-6.0-1.14","","767","","","trustrating_stim/white_mw089.bmp","3"
"","","","ratingFB","image-keyboard-response","34","44716","0.0-6.0-2.14","","null","","","trustrating_stim/white_mw089.bmp","null"
"","","","rating","image-keyboard-response","35","45657","0.0-6.0-1.15","","834","","","trustrating_stim/white_00659_941121_fa_edt.bmp","2"
"","","","ratingFB","image-keyboard-response","36","45866","0.0-6.0-2.15","","null","","","trustrating_stim/white_00659_941121_fa_edt.bmp","null"
"","","","rating","image-keyboard-response","37","46827","0.0-6.0-1.16","","845","","","trustrating_stim/white_mw084.bmp","4"
"","","","ratingFB","image-keyboard-response","38","47041","0.0-6.0-2.16","","null","","","trustrating_stim/white_mw084.bmp","null"
"","","","rating","image-keyboard-response","39","47985","0.0-6.0-1.17","","828","","","trustrating_stim/white_mw071.bmp","5"
"","","","ratingFB","image-keyboard-response","40","48198","0.0-6.0-2.17","","null","","","trustrating_stim/white_mw071.bmp","null"
"","","","rating","image-keyboard-response","41","49551","0.0-6.0-1.18","","1246","","","trustrating_stim/white_mw049.bmp","7"
"","","","ratingFB","image-keyboard-response","42","49765","0.0-6.0-2.18","","null","","","trustrating_stim/white_mw049.bmp","null"
"","","","rating","image-keyboard-response","43","50972","0.0-6.0-1.19","","1099","","","trustrating_stim/white_mw035.bmp","7"
"","","","ratingFB","image-keyboard-response","44","51181","0.0-6.0-2.19","","null","","","trustrating_stim/white_mw035.bmp","null"
"","","","rating","image-keyboard-response","45","52803","0.0-6.0-1.20","","1514","","","trustrating_stim/white_00519_940519_fb_edt.bmp","4"
"","","","ratingFB","image-keyboard-response","46","53015","0.0-6.0-2.20","","null","","","trustrating_stim/white_00519_940519_fb_edt.bmp","null"
"","","","rating","image-keyboard-response","47","55089","0.0-6.0-1.21","","1966","","","trustrating_stim/white_mw066.bmp","8"
"","","","ratingFB","image-keyboard-response","48","55298","0.0-6.0-2.21","","null","","","trustrating_stim/white_mw066.bmp","null"
"","","","rating","image-keyboard-response","49","56221","0.0-6.0-1.22","","814","","","trustrating_stim/white_00340_940422_fa_edt.bmp","2"
"","","","ratingFB","image-keyboard-response","50","56431","0.0-6.0-2.22","","null","","","trustrating_stim/white_00340_940422_fa_edt.bmp","null"
"","","","rating","image-keyboard-response","51","61596","0.0-6.0-1.23","","5058","","","trustrating_stim/white_00299_940422_fa_edt.bmp","5"
"","","","ratingFB","image-keyboard-response","52","61798","0.0-6.0-2.23","","null","","","trustrating_stim/white_00299_940422_fa_edt.bmp","null"
"","","","rating","image-keyboard-response","53","63314","0.0-6.0-1.24","","1406","","","trustrating_stim/white_mw099.bmp","3"
"","","","ratingFB","image-keyboard-response","54","63516","0.0-6.0-2.24","","null","","","trustrating_stim/white_mw099.bmp","null"
"","","","rating","image-keyboard-response","55","64445","0.0-6.0-1.25","","828","","","trustrating_stim/white_00129_931230_fb_edt.bmp","4"
"blur","56","64635","blurevent","","","","","","","","1","",""
"","","","ratingFB","image-keyboard-response","56","64646","0.0-6.0-2.25","","null","","","trustrating_stim/white_00129_931230_fb_edt.bmp","null"
"focus","57","66524","focusevent","","","","","","","","","",""
"blur","57","72246","blurevent","","","","","","","","2","",""
