"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round","numBlurs"
"focus","0","0","focusevent","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","instructions","1","2979","0.0-1.0","[{""page_index"":0,""viewing_time"":2972}]","2972","","","","","","","","","","","","","","",""
"fullscreenenter","2","4626","fullscreenenter","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","fullscreen","2","5600","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","instructions","3","23769","0.0-4.0","[{""page_index"":0,""viewing_time"":10678},{""page_index"":1,""viewing_time"":7488}]","18166","","","","","","","","","","","","","","",""
"","","","","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","instructions","4","24844","0.0-5.0","[{""page_index"":0,""viewing_time"":1074}]","1074","","","","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","5","27827","0.0-6.0-1.0","","2868","","trustrating_stim/white_mw046.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","6","28041","0.0-6.0-2.0","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","7","29336","0.0-6.0-1.1","","1193","","trustrating_stim/white_mw056.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","8","29537","0.0-6.0-2.1","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","","",""
