"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","numBlurs"
"pavlovia","0","1","0.0-0.0","","","","",""
"","","","","blur","1","18782","blurevent","1"
"","","","","focus","1","840571","focusevent",""
