PROLIFIC_PID,tr_totalTime,tr_rat_mean,tr_rat_std,tr_rat_r1r2_corr_r,tr_rat_r1r2_corr_p,tr_qa:rat_%rt<300,tr_qa:rat_%rt>10000,tr_qa:rat_%Conseqs,tr_qa:rat_instruxDur,tr_qa:rat_blurEv,tr_qa:dec_%rt<300,tr_qa:dec_%rt>10000,tr_qa:dec_%Conseqs,tr_qa:dec_instruxDur,tr_qa:dec_blurEv,tr_frat_r1r2_corr_r,tr_frat_r1r2_corr_p,tr_qa:frat_%rt<300,tr_qa:frat_%rt>10000,tr_qa:frat_%Conseqs,tr_qa:frat_instruxDur,rw_totalTime,rw_qa:dec_%rt<300,rw_qa:dec_%rt>10000,rw_qa:dec_%Conseqs,rw_qa:dec_instruxDur,rw_qa:frat_%rt<300,rw_qa:frat_%rt>10000,rw_qa:frat_%Conseqs,rw_qa:frat_instruxDur,rw_qa:blurEv,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm
6108cd48a97ffccb0e7e518c,667.932,5.7,2.0773190022931325,0.7000851186315207,1.659175102893298e-05,0.0,0.0,0.2833333333333333,16.15,1.0,0.3181818181818182,0.0,0.09090909090909091,54.15,0.0,-0.2494557474914282,0.43427126563456653,0.0,0.08333333333333333,0.16666666666666666,12.57,570.882,0.045454545454545456,0.007575757575757576,0.22727272727272727,6.79,0.0,0.0,0.16666666666666666,23.17,0.0,0.11929299183985187,0.5320986475560247,0.7485453878262761,408.56850490055086,1.1055489700830447e-08
63d85999228b7d6b636dd96c,653.715,4.766666666666667,1.577024302196232,0.05287090891252724,0.7814154487833318,0.0,0.016666666666666666,0.4,62.25,0.0,0.5757575757575758,0.0,0.19696969696969696,102.11,0.0,0.6698827096688122,0.017157758162346114,0.0,0.0,0.16666666666666666,9.47,603.39,0.3181818181818182,0.09090909090909091,0.36363636363636365,7.04,0.16666666666666666,0.0,0.8333333333333334,7.96,0.0,0.05181683693148521,4.5397868702434395e-05,1.0,319.8864798382774,1.3665570964862134e-47
5fb3d39a2ceaab00087faddb,519.972,1.4333333333333333,0.7890493457677391,0.39319337430967666,0.03159260897986526,0.0,0.0,0.5333333333333333,8.16,0.0,0.1893939393939394,0.0,0.3181818181818182,52.1,0.0,0.25851824532964185,0.41719083673963914,0.0,0.0,0.16666666666666666,25.39,386.115,0.3787878787878788,0.0,0.44696969696969696,7.79,0.0,0.0,0.16666666666666666,19.03,0.0,0.22364511200694412,0.27079969737728404,0.15866338453489767,403.1199028648504,4.1465779022975555e-11
63d13bce0971871b9ff88f56,475.775,5.183333333333334,2.34695378957394,0.0809797742353654,0.6705469640369975,0.0,0.0,0.06666666666666667,4.38,0.0,0.38636363636363635,0.0,0.15151515151515152,40.51,0.0,0.44321467125296427,0.14899461794894125,0.0,0.0,0.0,7.54,287.899,0.6818181818181818,0.0,0.5151515151515151,3.15,0.0,0.0,0.0,6.52,1.0,4.5397868702434395e-05,0.9998253322837305,0.1412061542894288,423.5964504734162,0.10751882715109348
63d7a8a2591096e22405d64a,517.25,5.316666666666666,1.3715223098177018,-0.09721912166181737,0.6092963642925403,0.0,0.0,0.23333333333333334,18.42,0.0,0.6742424242424242,0.0,0.5681818181818182,79.92,0.0,-0.04029114820126903,0.9010603081912436,0.08333333333333333,0.0,0.75,12.65,290.262,0.7272727272727273,0.0,0.4166666666666667,1.6,0.0,0.0,0.8333333333333334,2.36,0.0,0.08559275607245544,0.7755264145144508,-0.40310591199306034,401.9552929873179,1.2619673646352324e-11
63d7edbef6596097994e730e,399.807,5.0,0.0,,,0.0,0.0,0.9833333333333333,4.6,1.0,0.6212121212121212,0.0,0.8257575757575758,55.24,0.0,,,0.0,0.0,0.9166666666666666,6.53,357.48,0.26515151515151514,0.0,0.6363636363636364,8.32,0.0,0.0,0.8333333333333334,15.62,0.0,0.009443528518393633,0.9999546021312976,-1.0,255.13125388955504,8.11431104881785e-76
60761cf3cc35a2a9b127b414,569.918,4.266666666666667,2.8276280211492977,0.6308914654470559,0.00018572268405215168,0.0,0.0,0.21666666666666667,38.69,0.0,0.25757575757575757,0.0,0.2727272727272727,61.89,0.0,0.8246497147425754,0.0009648321087200448,0.0,0.0,0.16666666666666666,14.86,347.764,0.07575757575757576,0.0,0.38636363636363635,2.41,0.0,0.0,0.16666666666666666,6.63,0.0,0.10315531280338253,0.32681177130218764,0.5736889230922749,412.18454178178575,4.6251693043017163e-07
63cedc8a97a0bb604736baea,614.716,5.166666666666667,2.6113615298437742,0.25824031272125114,0.16825235569878966,0.0,0.0,0.2833333333333333,15.06,0.0,0.5,0.0,0.30303030303030304,98.1,0.0,0.2737854484095116,0.389187591954013,0.0,0.0,0.25,16.42,311.637,0.6136363636363636,0.0,0.22727272727272727,3.89,0.0,0.0,0.16666666666666666,11.18,0.0,0.00014357820334741486,0.5318564047074344,-0.5355059240137926,407.64291411113084,4.268233658268162e-09
63f93d2de413ad49cf0dbff1,739.022,5.283333333333333,0.9222607937841727,0.5295891825342743,0.0026160284596772787,0.0,0.0,0.2833333333333333,23.99,0.0,0.0,0.0,0.29545454545454547,89.06,0.0,-0.04669667243342229,0.8854158685389493,0.0,0.0,0.25,23.05,439.845,0.0,0.0,0.3409090909090909,3.59,0.0,0.0,0.16666666666666666,9.78,0.0,0.14054770562823055,0.9131431562999633,0.001039725608694463,392.50725517473154,8.422616633986912e-16
61006f43a84b82fb439d7cba,747.986,5.216666666666667,0.7611691868917494,0.4320768142133373,0.017106553512604303,0.0,0.0,0.2833333333333333,14.25,0.0,0.0,0.0,0.4393939393939394,112.84,0.0,0.38151351305936765,0.22106648131139173,0.0,0.0,0.25,11.76,443.581,0.06818181818181818,0.0,0.2727272727272727,5.14,0.0,0.0,0.3333333333333333,13.98,0.0,0.34547145681421115,4.5397868702434395e-05,1.0,343.91476442631324,4.234542728296499e-37
63ed4bdcb1977e991fe4f095,568.747,4.316666666666666,2.8964716505774533,0.5058093681991327,0.004350712846777099,0.0,0.0,0.16666666666666666,18.17,0.0,0.18181818181818182,0.0,0.5075757575757576,68.11,1.0,0.31913948352764204,0.3119608531404643,0.3333333333333333,0.0,0.6666666666666666,19.0,378.558,0.42424242424242425,0.0,0.5757575757575758,6.35,0.0,0.0,0.0,23.52,2.0,0.10668164790845608,4.5397868702434395e-05,1.0,354.16072627508754,1.275178299436815e-32
