"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","numBlurs"
"pavlovia","0","7","0.0-0.0","","","","","","","",""
"instructions","1","5791","0.0-1.0","[{""page_index"":0,""viewing_time"":5782}]","5782","","","","","",""
"","","","","","","fullscreenenter","2","7616","fullscreenenter","",""
"fullscreen","2","8574","0.0-2.0","","","","","","","true",""
"instructions","3","51974","0.0-4.0","[{""page_index"":0,""viewing_time"":43398}]","43398","","","","","",""
"","","","","","","fullscreenexit","4","67126","fullscreenexit","",""
"","","","","","","blur","4","70881","blurevent","","1"
"","","","","","","focus","4","70886","focusevent","",""
