"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","numBlurs"
"pavlovia","0","10","0.0-0.0","","","","","","","",""
"instructions","1","941","0.0-1.0","[{""page_index"":0,""viewing_time"":929}]","930","","","","","",""
"","","","","","","fullscreenenter","2","2110","fullscreenenter","",""
"fullscreen","2","3077","0.0-2.0","","","","","","","true",""
"instructions","3","28560","0.0-4.0","[{""page_index"":0,""viewing_time"":25467}]","25468","","","","","",""
"","","","","","","fullscreenexit","4","30638","fullscreenexit","",""
"","","","","","","blur","4","35270","blurevent","","1"
"","","","","","","focus","4","35278","focusevent","",""
