PROLIFIC_PID,totalTime,rat_mean,rat_std,rat_r1r2_corr_r,rat_r1r2_corr_p,frat_r1r2_corr_r,frat_r1r2_corr_p,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:rat_%rt<300,qa:rat_%rt>10000,qa:rat_%Conseqs,qa:rat_instruxDur,qa:rat_blurEv,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:dec_blurEv,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur
5f2f86864fd821374b4367bc,565.772,5.25,3.197589134205088,-0.163285545706492,0.3886011631275894,-0.2120066237423686,0.5082940638631399,4.53978687024344e-05,0.9999546021312976,-0.9999092042625952,73.67160776028228,2.569519698172359e-62,0.0,0.0,0.4,12.25,0.0,0.75,0.0,0.946969696969697,60.43,0.0,0.1666666666666666,0.0,0.6666666666666666,13.94
61492ac26b91b5b11ba2c88b,631.332,4.216666666666667,2.597858744523492,0.9518484346245268,6.564740816535097e-16,0.5346057418960863,0.0733347127564009,0.1762009942138045,0.7252224567507637,-0.1273969982296743,192.23381039832583,2.0441587530864542e-10,0.0,0.0,0.2333333333333333,8.42,1.0,0.0,0.0,0.1969696969696969,89.2,0.0,0.0,0.0,0.0833333333333333,17.42
60234c1d5a0cf81cba76ce5d,800.233,4.833333333333333,2.6944177489115746,0.8069737469556535,7.179993937489609e-08,0.4049907429405976,0.1915606025287686,0.4797961206402346,0.5236021695270183,-0.2897875206414244,205.66914208099524,0.0002318803088495,0.0,0.0,0.1666666666666666,13.11,0.0,0.0151515151515151,0.0,0.3560606060606061,135.66,0.0,0.0,0.0,0.25,15.3
6362aca86b740b1ec4cb6efb,878.497,4.916666666666667,3.4162704744797736,-0.5318835497624039,0.0024858739880143,0.3044387078366815,0.335991797308029,0.0429363665644635,0.9999546021312976,-0.9551538094459192,150.60054002766046,9.846274115411267e-29,0.2166666666666666,0.0,0.35,32.46,2.0,0.0606060606060606,0.0,0.3181818181818182,170.04,1.0,0.1666666666666666,0.0,0.0,26.1
60fcd2b146529d02f1566012,529.8,5.383333333333334,1.949286411516864,0.6340947376931119,0.0001682292170596,0.7952612628504397,0.0019861214690091,0.1434075335850697,0.9999546021312976,-0.2248310090447404,171.61591927378822,1.616506957693048e-19,0.0,0.0,0.2333333333333333,6.11,2.0,0.0833333333333333,0.0,0.5378787878787878,48.83,0.0,0.0,0.0,0.0833333333333333,14.07
63ed12d2c25b08ba24fe8a41,846.621,5.25,2.0052896151623503,0.4057166639184314,0.0261195374231897,-0.3383679829706526,0.2820151080976992,0.2284211736668982,0.8029750442934936,-0.1345288027017348,200.9638380869886,1.650694723639099e-06,0.0,0.0166666666666666,0.1666666666666666,18.85,1.0,0.0151515151515151,0.0,0.3106060606060606,128.65,0.0,0.0,0.0,0.0833333333333333,17.55
5d412a9013864b0015b14b31,721.525,4.683333333333334,1.5348126001287992,0.8168516045225248,3.673645149758313e-08,0.5555414923488222,0.0607544723019524,0.4829968537936506,0.9637580556510758,-0.4803850620647573,180.0266576947403,8.130366675427676e-16,0.0,0.0,0.1,17.33,0.0,0.1590909090909091,0.0,0.2424242424242424,91.27,0.0,0.0,0.0,0.25,22.37
610b416fd4f5d1dcfaa28d7a,803.327,3.633333333333333,1.9481992264624015,0.46497816167166,0.0096262806058665,-0.0614255697248012,0.8495934126467422,0.6020680556164137,0.4444800600534727,0.7861584712269414,186.617000434324,6.607410479973215e-13,0.0,0.0,0.25,24.02,0.0,0.0151515151515151,0.0,0.1818181818181818,124.38,0.0,0.0,0.0,0.0833333333333333,31.62
63d9f31dba727de153019798,967.015,6.8,1.581674718535463,0.6485936158261811,0.0001059951219734,0.9574749827023764,1.019625630683657e-06,4.53978687024344e-05,4.53978687024344e-05,0.9999092042625952,123.65729282880706,1.638603465452327e-40,0.0,0.0,0.6333333333333333,20.42,1.0,0.4090909090909091,0.0,0.4621212121212121,28.82,0.0,0.0,0.0,0.25,33.07
620bdd8ca922fc3f247f6c82,492.374,4.783333333333333,1.7859305760859994,0.3550180997287222,0.0542133350046714,0.358302088090296,0.252775276156893,0.1278550451036132,0.8619352951445913,0.1245556329912709,197.76102863158408,5.981002623617366e-08,0.3333333333333333,0.0,0.0666666666666666,7.82,0.0,0.4318181818181818,0.0,0.2878787878787879,35.84,0.0,0.5833333333333334,0.0,0.1666666666666666,73.76
