PROLIFIC_PID,tr_totalTime,tr_rat_mean,tr_rat_std,tr_rat_r1r2_corr_r,tr_rat_r1r2_corr_p,tr_qa:rat_%rt<300,tr_qa:rat_%rt>10000,tr_qa:rat_%Conseqs,tr_qa:rat_instruxDur,tr_qa:rat_blurEv,tr_qa:dec_%rt<300,tr_qa:dec_%rt>10000,tr_qa:dec_%Conseqs,tr_qa:dec_instruxDur,tr_qa:dec_blurEv,tr_frat_r1r2_corr_r,tr_frat_r1r2_corr_p,tr_qa:frat_%rt<300,tr_qa:frat_%rt>10000,tr_qa:frat_%Conseqs,tr_qa:frat_instruxDur,rw_totalTime,rw_qa:dec_%rt<300,rw_qa:dec_%rt>10000,rw_qa:dec_%Conseqs,rw_qa:dec_instruxDur,rw_qa:frat_%rt<300,rw_qa:frat_%rt>10000,rw_qa:frat_%Conseqs,rw_qa:frat_instruxDur,rw_qa:blurEv
5f2f86864fd821374b4367bc,565.772,5.25,3.1975891342050877,-0.16328554570649206,0.3886011631275894,0.0,0.0,0.4,12.25,0.0,0.75,0.0,0.946969696969697,60.43,0.0,-0.21200662374236867,0.5082940638631399,0.16666666666666666,0.0,0.6666666666666666,13.94,317.618,0.7803030303030303,0.007575757575757576,0.8712121212121212,2.0,0.0,0.0,0.8333333333333334,0.6,0.0
61492ac26b91b5b11ba2c88b,631.332,4.216666666666667,2.597858744523492,0.9518484346245267,6.564740816535097e-16,0.0,0.0,0.23333333333333334,8.42,1.0,0.0,0.0,0.19696969696969696,89.2,0.0,0.5346057418960863,0.07333471275640098,0.0,0.0,0.08333333333333333,17.42,504.727,0.0,0.0,0.1590909090909091,7.36,0.0,0.0,0.0,29.62,0.0
60234c1d5a0cf81cba76ce5d,800.233,4.833333333333333,2.6944177489115746,0.8069737469556535,7.179993937489609e-08,0.0,0.0,0.16666666666666666,13.11,0.0,0.015151515151515152,0.0,0.3560606060606061,135.66,0.0,0.40499074294059767,0.1915606025287686,0.0,0.0,0.25,15.3,1140.393,0.0,0.05303030303030303,0.1590909090909091,22.99,0.0,0.3333333333333333,0.0,56.12,0.0
6362aca86b740b1ec4cb6efb,878.497,4.916666666666667,3.4162704744797736,-0.5318835497624039,0.0024858739880143613,0.21666666666666667,0.0,0.35,32.46,2.0,0.06060606060606061,0.0,0.3181818181818182,170.04,1.0,0.30443870783668153,0.335991797308029,0.16666666666666666,0.0,0.0,26.1,635.299,0.3712121212121212,0.007575757575757576,0.20454545454545456,1.86,0.0,0.16666666666666666,0.0,65.18,4.0
60fcd2b146529d02f1566012,529.8,5.383333333333334,1.9492864115168638,0.6340947376931119,0.00016822921705961284,0.0,0.0,0.23333333333333334,6.11,2.0,0.08333333333333333,0.0,0.5378787878787878,48.83,0.0,0.7952612628504397,0.001986121469009111,0.0,0.0,0.08333333333333333,14.07,442.68,0.0,0.0,0.38636363636363635,7.45,0.0,0.0,0.3333333333333333,24.14,0.0
63ed12d2c25b08ba24fe8a41,846.621,5.25,2.0052896151623503,0.4057166639184314,0.0261195374231897,0.0,0.016666666666666666,0.16666666666666666,18.85,1.0,0.015151515151515152,0.0,0.3106060606060606,128.65,0.0,-0.3383679829706526,0.2820151080976992,0.0,0.0,0.08333333333333333,17.55,496.667,0.0,0.0,0.2196969696969697,6.32,0.0,0.0,0.3333333333333333,16.07,1.0
5d412a9013864b0015b14b31,721.525,4.683333333333334,1.5348126001287992,0.8168516045225248,3.673645149758313e-08,0.0,0.0,0.1,17.33,0.0,0.1590909090909091,0.0,0.24242424242424243,91.27,0.0,0.5555414923488222,0.06075447230195248,0.0,0.0,0.25,22.37,324.832,0.6590909090909091,0.0,0.3484848484848485,4.58,0.0,0.0,0.0,19.13,0.0
62ec219e5f3634408fb35580,580.123,4.433333333333334,2.36762533301072,0.9019710890431288,1.0088903027443758e-11,0.0,0.0,0.21666666666666667,10.15,0.0,0.030303030303030304,0.0,0.4015151515151515,92.04,0.0,0.9240300408519946,1.752515655257651e-05,0.0,0.0,0.08333333333333333,9.87,462.284,0.1893939393939394,0.0,0.38636363636363635,10.25,0.0,0.0,0.0,29.29,0.0
594936ad4152bf0001bfd5cd,676.363,4.8,0.5142049977013226,0.8790490729915331,1.6518421600556441e-10,0.0,0.0,0.5666666666666667,10.48,0.0,0.0,0.0,0.32575757575757575,79.41,0.0,0.5024862830384333,0.09593146925466176,0.0,0.0,0.16666666666666666,16.25,407.559,0.0,0.0,0.3181818181818182,6.83,0.0,0.0,0.0,10.92,0.0
63d842d3e9626bd5fe5c17b1,465.26,5.0,0.0,,,0.2,0.0,0.9833333333333333,6.34,1.0,0.4696969696969697,0.0,0.6515151515151515,81.43,0.0,,,0.0,0.0,0.3333333333333333,12.38,675.732,0.803030303030303,0.0,0.7121212121212122,9.1,0.0,0.0,0.0,47.24,1.0
