"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6485","0.0-1.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":6483}]","6483","","","","","","","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","","fullscreenenter","2","8414","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","9398","0.0-2.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","","blur","3","30454","blurevent","","1","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","","focus","3","38133","focusevent","","","","","","","","","","","","","","",""
"instructions","3","149425","0.0-4.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":17015},{""page_index"":1,""viewing_time"":45640},{""page_index"":2,""viewing_time"":11370},{""page_index"":3,""viewing_time"":9585},{""page_index"":4,""viewing_time"":40307},{""page_index"":5,""viewing_time"":16109}]","140027","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","155312","0.0-5.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","5886","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","158512","0.0-6.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","3091","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","164623","0.0-7.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","6002","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","166158","0.0-8.0","63034df51d918e1e3b97e5ce","bdp_rwlrn","Wed Mar 15 2023 23:30:11 GMT-0400 (Eastern Daylight Time)","731497","Trustworthy,Untrustworthy","","1425","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
