"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","numBlurs","faceID","face"
"focus","0","0","focusevent","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","pavlovia","0","10","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","instructions","1","3713","0.0-1.0","[{""page_index"":0,""viewing_time"":3703}]","3703","","","","","","","","","","","","","","",""
"fullscreenexit","2","6423","fullscreenexit","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","fullscreen","2","7095","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","image-keyboard-response","3","11519","0.0-3.0-0.0","","4420","","","32","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","instructions","4","84285","0.0-4.0","[{""page_index"":0,""viewing_time"":8963},{""page_index"":1,""viewing_time"":22091},{""page_index"":2,""viewing_time"":9926},{""page_index"":3,""viewing_time"":8805},{""page_index"":4,""viewing_time"":17652},{""page_index"":5,""viewing_time"":5075}]","72513","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","5","87516","0.0-5.0","","3230","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","6","89636","0.0-6.0","","2012","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","7","93923","0.0-7.0","","4183","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","8","95446","0.0-8.0","","1419","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","9","100556","0.0-9.0","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/melon.png'><br><strong>Melon Millions</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/mixed-berries2.png'><br><strong>Berry Bla$t</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/cherrie.png'><br><strong>Cherry Chances</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","instructions","10","121237","0.0-10.0","[{""page_index"":0,""viewing_time"":11299},{""page_index"":1,""viewing_time"":9382}]","20681","","","","","","","","","","","","","","",""
"","","","decision","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","11","127036","0.0-11.0-1.0","","5691","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Cherry Chances","Fruit/cherrie.png","Won","0.35,0.65","13","0.35","5","1","","",""
"","","","decisionFB","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","12","127292","0.0-11.0-2.0","","null","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Cherry Chances","Fruit/cherrie.png","Won","0.35,0.65","13","0.35","3","1","","",""
"","","","feedback","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","13","128296","0.0-11.0-3.0","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","1","Cherry Chances","Fruit/cherrie.png","Won","0.35,0.65","13","0.35","7","1","","",""
"","","","decision","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","14","131233","0.0-11.0-1.1","","2935","","<div class='trialDiv'><img src='Fruit/melon.png'><br><font class='baseline'><strong>Melon Millions</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Melon Millions","Fruit/melon.png","Lost","0.2,0.65","13","0.2","12","2","","",""
"","","","decisionFB","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","15","131489","0.0-11.0-2.1","","null","","<div class='trialDiv'><img src='Fruit/melon.png'><br><font class='baseline'><strong>Melon Millions</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Melon Millions","Fruit/melon.png","Lost","0.2,0.65","13","0.2","10","2","","",""
"","","","feedback","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","16","132492","0.0-11.0-3.1","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/melon.png'><br><font class='baseline'><strong>Melon Millions</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Melon Millions","Fruit/melon.png","Lost","0.2,0.65","13","0.2","10","2","","",""
"","","","decision","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","17","134887","0.0-11.0-1.2","","2394","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Berry Bla$t","Fruit/mixed-berries2.png","Won","0.65,0.2","12","0.65","15","3","","",""
"","","","decisionFB","5fc70f3bd255c10f0b2346ba","bdp_rwlrn","Mon Mar 13 2023 21:22:23 GMT-0700 (Pacific Daylight Time)","645567","Trustworthy,Untrustworthy","html-keyboard-response","18","135140","0.0-11.0-2.2","","null","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Won","0.65,0.2","12","0.65","13","3","","",""
