"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","271","blurevent","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","11793","focusevent","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","instructions","1","19228","0.0-1.0","","[{""page_index"":0,""viewing_time"":19225}]","19225","","","","","","","","","","","","","",""
"fullscreenenter","2","22126","fullscreenenter","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","fullscreen","2","23133","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","instructions","3","164294","0.0-4.0","","[{""page_index"":0,""viewing_time"":22017},{""page_index"":1,""viewing_time"":32768},{""page_index"":2,""viewing_time"":21260},{""page_index"":3,""viewing_time"":9072},{""page_index"":4,""viewing_time"":47941},{""page_index"":5,""viewing_time"":8102}]","141160","","","","","","","","","","","","","",""
"","","","","63bd81516745e78ee7f50f7f","bdp_rwlrn","Mon Mar 13 2023 14:50:14 GMT-0400 (Eastern Daylight Time)","480843","Trustworthy,Untrustworthy","html-keyboard-response","4","171790","0.0-5.0","","","7494","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
