"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","10","0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2636","0.0-1.0","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2625}]","2625","","","","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","blur","2","4489","blurevent","1","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","focus","2","4495","focusevent","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","blur","2","4497","blurevent","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","fullscreenenter","2","4503","fullscreenenter","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","focus","2","4750","focusevent","","","","","","","","","","","","","","",""
"fullscreen","2","5452","0.0-2.0","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","fullscreenexit","3","7245","fullscreenexit","","","","","","","","","","","","","","",""
"instructions","3","26763","0.0-4.0","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":7847},{""page_index"":1,""viewing_time"":4699},{""page_index"":2,""viewing_time"":1080},{""page_index"":3,""viewing_time"":1103},{""page_index"":4,""viewing_time"":3599},{""page_index"":5,""viewing_time"":2974}]","21303","","","","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","blur","4","34147","blurevent","2","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_rwlrn","Fri Mar 10 2023 14:39:12 GMT-0500 (Eastern Standard Time)","635299","Untrustworthy,Trustworthy","","","focus","4","70564","focusevent","","","","","","","","","","","","","","",""
