"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","4","0.0-0.0","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","blur","1","5771","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","focus","1","15004","focusevent","","","","","","","","","","","","","","","","",""
"","","","","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","blur","1","19031","blurevent","","","","","","","","","","","","","","","","",""
"","","","","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","focus","1","22336","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","28753","0.0-1.0","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":28748}]","28748","","","","","","","","","","","","","",""
"","","","","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","fullscreenenter","2","35061","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","36053","0.0-2.0","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","116322","0.0-4.0","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":35640},{""page_index"":1,""viewing_time"":12865},{""page_index"":2,""viewing_time"":4358},{""page_index"":3,""viewing_time"":9319},{""page_index"":4,""viewing_time"":16486},{""page_index"":5,""viewing_time"":1599}]","80267","","","","","","","","","","","","","",""
"html-keyboard-response","4","119179","0.0-5.0","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","","","","","","","2855","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","","","",""
"html-keyboard-response","5","126481","0.0-6.0","60ce8efd3dc93c8607362691","bdp_rwlrn","Wed Mar 15 2023 23:14:41 GMT-0400 (Eastern Daylight Time)","393362","Untrustworthy,Trustworthy","","","","","","","7201","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p style='color:#FF0000'>b) 1</p><p>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
