"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","blur","1","2043","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","focus","1","5064","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","15993","0.0-1.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":15991}]","15991","","","","","","","","","","","","","",""
"","","","","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","fullscreenenter","2","18420","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","19412","0.0-2.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","84904","0.0-4.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":9183},{""page_index"":1,""viewing_time"":13109},{""page_index"":2,""viewing_time"":10938},{""page_index"":3,""viewing_time"":10443},{""page_index"":4,""viewing_time"":19458},{""page_index"":5,""viewing_time"":2358}]","65489","","","","","","","","","","","","","",""
"html-keyboard-response","4","88900","0.0-5.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","3993","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","90277","0.0-6.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","1273","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","97712","0.0-7.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","7332","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","101442","0.0-8.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","3621","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","106556","0.0-9.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/pineapple.png'><br><strong>Primo Pineapple</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/pears.png'><br><strong>Pears Aplenty</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/orange.png'><br><strong>Odds are Orange</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","113257","0.0-10.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":390},{""page_index"":1,""viewing_time"":6310}]","6700","","","","","","","","","","","","","",""
"html-keyboard-response","10","115605","0.0-11.0-1.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","2237","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","5","1","",""
"html-keyboard-response","11","115860","0.0-11.0-2.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","3","1","",""
"html-keyboard-response","12","116869","0.0-11.0-3.0","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","3","1","",""
"html-keyboard-response","13","119712","0.0-11.0-1.1","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","2841","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Pears Aplenty","Fruit/pears.png","Lost","0.35,0.8","14","0.35","8","2","",""
"html-keyboard-response","14","119972","0.0-11.0-2.1","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Pears Aplenty","Fruit/pears.png","Lost","0.35,0.8","14","0.35","6","2","",""
"html-keyboard-response","15","120980","0.0-11.0-3.1","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Pears Aplenty","Fruit/pears.png","Lost","0.35,0.8","14","0.35","6","2","",""
"html-keyboard-response","16","122315","0.0-11.0-1.2","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","1333","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","11","3","",""
"html-keyboard-response","17","122571","0.0-11.0-2.2","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","8","3","",""
"html-keyboard-response","18","123581","0.0-11.0-3.2","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>6</strong></font></div>","null","1","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","14","3","",""
"html-keyboard-response","19","125470","0.0-11.0-1.3","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","1887","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","2","Pears Aplenty","Fruit/pears.png","Won","0.35,0.8","14","0.35","19","4","",""
"html-keyboard-response","20","125727","0.0-11.0-2.3","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","2","Pears Aplenty","Fruit/pears.png","Won","0.35,0.8","14","0.35","18","4","",""
"html-keyboard-response","21","126731","0.0-11.0-3.3","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","2","Pears Aplenty","Fruit/pears.png","Won","0.35,0.8","14","0.35","20","4","",""
"html-keyboard-response","22","128492","0.0-11.0-1.4","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","1759","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","2","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","25","5","",""
"html-keyboard-response","23","128750","0.0-11.0-2.4","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","2","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","21","5","",""
"html-keyboard-response","24","129755","0.0-11.0-3.4","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>8</strong></font></div>","null","2","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","29","5","",""
"html-keyboard-response","25","132796","0.0-11.0-1.5","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","3038","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","34","6","",""
"html-keyboard-response","26","133052","0.0-11.0-2.5","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","32","6","",""
"html-keyboard-response","27","134059","0.0-11.0-3.5","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","2","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","32","6","",""
"html-keyboard-response","28","135749","0.0-11.0-1.6","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","1689","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","3","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","37","7","",""
"html-keyboard-response","29","136004","0.0-11.0-2.6","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","3","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","32","7","",""
"html-keyboard-response","30","137012","0.0-11.0-3.6","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","feedback","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","3","Odds are Orange","Fruit/orange.png","Won","0.8,0.35","10","0.8","42","7","",""
"html-keyboard-response","31","140694","0.0-11.0-1.7","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decision","","","3680","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","3","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","47","8","",""
"html-keyboard-response","32","140955","0.0-11.0-2.7","60fcdd3be2ae9576df065728","bdp_rwlrn","Wed Mar 15 2023 12:33:27 GMT-0700 (Mountain Standard Time)","436738","Untrustworthy,Trustworthy","","","","decisionFB","","","null","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","3","Primo Pineapple","Fruit/pineapple.png","Lost","0.35,0.65","12","0.35","45","8","",""
