"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","1","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","instructions","1","4997","0.0-1.0","[{""page_index"":0,""viewing_time"":4994}]","4994","","","","","","","","","","","","","",""
"fullscreenexit","2","8306","fullscreenexit","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","fullscreen","2","9071","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","image-keyboard-response","3","16701","0.0-3.0-0.0","","7629","","","32","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","instructions","4","63522","0.0-4.0","[{""page_index"":0,""viewing_time"":14465},{""page_index"":1,""viewing_time"":6664},{""page_index"":2,""viewing_time"":6829},{""page_index"":3,""viewing_time"":5002},{""page_index"":4,""viewing_time"":11101},{""page_index"":5,""viewing_time"":2506}]","46567","","","","","","","","","","","","","",""
"","","","","5d9303bbc400a90018821b13","bdp_rwlrn","Sun Mar 12 2023 23:56:01 GMT-0400 (Eastern Daylight Time)","351945","Trustworthy,Untrustworthy","","html-keyboard-response","5","70253","0.0-5.0","","6730","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
