"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","focus","1","2266","focusevent","","","","","","","","","","","","","","","",""
"instructions","1","8751","0.0-1.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":8748}]","8748","","","","","","","","","","","","","",""
"","","","","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","fullscreenenter","2","13110","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","14075","0.0-2.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","280038","0.0-4.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":53322},{""page_index"":1,""viewing_time"":37152},{""page_index"":2,""viewing_time"":15032},{""page_index"":3,""viewing_time"":30192},{""page_index"":4,""viewing_time"":25983},{""page_index"":5,""viewing_time"":19288},{""page_index"":4,""viewing_time"":48193},{""page_index"":3,""viewing_time"":7551},{""page_index"":2,""viewing_time"":1000},{""page_index"":1,""viewing_time"":16369},{""page_index"":2,""viewing_time"":295},{""page_index"":3,""viewing_time"":248},{""page_index"":4,""viewing_time"":3800},{""page_index"":5,""viewing_time"":7536}]","265962","","","","","","","","","","","","","",""
"html-keyboard-response","4","284278","0.0-5.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","4240","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","291606","0.0-6.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","7218","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","296957","0.0-7.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","5245","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","298805","0.0-8.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","1733","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","303934","0.0-9.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/watermelon.png'><br><strong>Watermelon Win$</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/lemon.png'><br><strong>Lucky Lemons</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","328701","0.0-10.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":22078},{""page_index"":1,""viewing_time"":2688}]","24766","","","","","","","","","","","","","",""
"html-keyboard-response","10","334125","0.0-11.0-1.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","decision","","5319","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","10","0.8","5","1","",""
"html-keyboard-response","11","334383","0.0-11.0-2.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","10","0.8","2","1","",""
"html-keyboard-response","12","335391","0.0-11.0-3.0","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>6</strong></font></div>","null","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","10","0.8","8","1","",""
"html-keyboard-response","13","341053","0.0-11.0-1.1","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","decision","","5662","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.8,0.2","13","0.8","13","2","",""
"html-keyboard-response","14","341317","0.0-11.0-2.1","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.8,0.2","13","0.8","10","2","",""
"html-keyboard-response","15","342323","0.0-11.0-3.1","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.8,0.2","13","0.8","10","2","",""
"html-keyboard-response","16","346773","0.0-11.0-1.2","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","decision","","4449","","<div class='trialDiv'><img src='Fruit/lemon.png'><br><font class='baseline'><strong>Lucky Lemons</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Lucky Lemons","Fruit/lemon.png","Lost","0.35,0.8","11","0.35","15","3","",""
"html-keyboard-response","17","347033","0.0-11.0-2.2","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/lemon.png'><br><font class='baseline'><strong>Lucky Lemons</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Lucky Lemons","Fruit/lemon.png","Lost","0.35,0.8","11","0.35","12","3","",""
"html-keyboard-response","18","348038","0.0-11.0-3.2","63f0fb9941434d10e8e4909b","bdp_rwlrn","Sat Apr 08 2023 11:56:26 GMT-0400 (Eastern Daylight Time)","1222505","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/lemon.png'><br><font class='baseline'><strong>Lucky Lemons</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Lucky Lemons","Fruit/lemon.png","Lost","0.35,0.8","11","0.35","12","3","",""
