"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"html-keyboard-response","322","480969","0.0-14.0-2.37","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","13","Mega Mangos","Fruit/mango.png","Lost","0.8,0.35","8","0.8","544","104","",""
"html-keyboard-response","323","481975","0.0-14.0-3.37","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","13","Mega Mangos","Fruit/mango.png","Lost","0.8,0.35","8","0.8","544","104","",""
"html-keyboard-response","324","482209","0.0-14.0-1.38","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","233","","","","decision","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","13","Great Grapes","Fruit/grapes.png","Lost","0.2,0.65","14","0.2","549","105","",""
"html-keyboard-response","325","482475","0.0-14.0-2.38","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","13","Great Grapes","Fruit/grapes.png","Lost","0.2,0.65","14","0.2","548","105","",""
"html-keyboard-response","326","483490","0.0-14.0-3.38","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","13","Great Grapes","Fruit/grapes.png","Lost","0.2,0.65","14","0.2","548","105","",""
"html-keyboard-response","327","484037","0.0-14.0-1.39","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","546","","","","decision","","<div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","14","Kiwi Kash","Fruit/Kiwi.png","Lost","0.8,0.2","12","0.8","553","106","",""
"html-keyboard-response","328","484297","0.0-14.0-2.39","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","14","Kiwi Kash","Fruit/Kiwi.png","Lost","0.8,0.2","12","0.8","552","106","",""
"html-keyboard-response","329","485306","0.0-14.0-3.39","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","14","Kiwi Kash","Fruit/Kiwi.png","Lost","0.8,0.2","12","0.8","552","106","",""
"html-keyboard-response","330","485583","0.0-14.0-1.40","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","276","","","","decision","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","14","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","14","0.2","557","107","",""
"html-keyboard-response","331","485836","0.0-14.0-2.40","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","14","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","14","0.2","556","107","",""
