"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","instructions","1","6567","0.0-1.0","[{""page_index"":0,""viewing_time"":6561}]","6561","","","","","","","","","","","","","","",""
"blur","2","293511","blurevent","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","","","","","","","1","","","","","","","","","","","","","",""
"focus","2","304173","focusevent","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","305143","fullscreenexit","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","fullscreen","2","305947","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","image-keyboard-response","3","312447","0.0-3.0-0.0","","6499","","","","32","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","instructions","4","380276","0.0-4.0","[{""page_index"":0,""viewing_time"":12301},{""page_index"":1,""viewing_time"":5277},{""page_index"":2,""viewing_time"":13436},{""page_index"":3,""viewing_time"":7468},{""page_index"":4,""viewing_time"":26510},{""page_index"":5,""viewing_time"":2574}]","67566","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","html-keyboard-response","5","384668","0.0-5.0","","4392","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","html-keyboard-response","6","385922","0.0-6.0","","1145","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_rwlrn","Fri Mar 10 2023 11:59:19 GMT-0800 (Pacific Standard Time)","675732","Trustworthy,Untrustworthy","html-keyboard-response","7","388766","0.0-7.0","","2741","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
