"event","trial","time","trialtype","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id"
"focus","0","0","focusevent","","","","",""
"blur","0","0","blurevent","1","","","",""
"focus","0","0","focusevent","","","","",""
"","","","","","pavlovia","0","7","0.0-0.0"
"blur","1","5049","blurevent","2","","","",""
"focus","1","14542","focusevent","","","","",""
"blur","1","15968","blurevent","","","","",""
"blur","1","22115","blurevent","","","","",""
"focus","1","22116","focusevent","","","","",""
"blur","1","22127","blurevent","","","","",""
