"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","5","0.0-0.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","blur","1","248577","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","focus","1","382828","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","410148","0.0-1.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","[{""page_index"":0,""viewing_time"":410142}]","410142","","","","","","","","","","","","","",""
"","","","","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","fullscreenenter","2","413034","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","413993","0.0-2.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","792007","0.0-4.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","[{""page_index"":0,""viewing_time"":17627},{""page_index"":1,""viewing_time"":89253},{""page_index"":2,""viewing_time"":13733},{""page_index"":3,""viewing_time"":41731},{""page_index"":4,""viewing_time"":125997},{""page_index"":5,""viewing_time"":89671}]","378012","","","","","","","","","","","","","",""
"html-keyboard-response","4","800458","0.0-5.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","","8448","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","802404","0.0-6.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","","1840","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","805110","0.0-7.0","62f6bc18e456bdf4bc90dd7b","bdp_rwlrn","Fri Mar 10 2023 14:54:38 GMT-0500 (Eastern Standard Time)","1462010","Trustworthy,Untrustworthy","","","","","","","2599","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
