"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3001","0.0-1.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2999}]","2999","","","","","","","","","","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","","blur","2","7722","blurevent","1","","","","","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","","focus","2","10174","focusevent","","","","","","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","","fullscreenenter","2","11346","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","12309","0.0-2.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","64246","0.0-4.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":9657},{""page_index"":1,""viewing_time"":4329},{""page_index"":2,""viewing_time"":2031},{""page_index"":3,""viewing_time"":20872},{""page_index"":4,""viewing_time"":8585},{""page_index"":5,""viewing_time"":4863},{""page_index"":4,""viewing_time"":841},{""page_index"":5,""viewing_time"":756}]","51935","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","70458","0.0-5.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","6211","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","71981","0.0-6.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","1421","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","75541","0.0-7.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","3458","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","76729","0.0-8.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","1086","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","81832","0.0-9.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","null","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/bananas.png'><br><strong>Banana Bonanza</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/plums1.png'><br><strong>Plum Powerball</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/papayas.png'><br><strong>Papaya Payday</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","89685","0.0-10.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":5604},{""page_index"":1,""viewing_time"":2248}]","7852","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","92165","0.0-11.0-1.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","2378","","","","decision","","","<div class='trialDiv'><img src='Fruit/bananas.png'><br><font class='baseline'><strong>Banana Bonanza</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Banana Bonanza","Fruit/bananas.png","Won","0.8,0.2","8","0.8","5","1","",""
"html-keyboard-response","11","92418","0.0-11.0-2.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","null","","","","decisionFB","","","<div class='trialDiv'><img src='Fruit/bananas.png'><br><font class='baseline'><strong>Banana Bonanza</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Banana Bonanza","Fruit/bananas.png","Won","0.8,0.2","8","0.8","2","1","",""
"html-keyboard-response","12","93420","0.0-11.0-3.0","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","null","","","","feedback","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/bananas.png'><br><font class='baseline'><strong>Banana Bonanza</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>6</strong></font></div>","null","1","Banana Bonanza","Fruit/bananas.png","Won","0.8,0.2","8","0.8","8","1","",""
"html-keyboard-response","13","94365","0.0-11.0-1.1","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","944","","","","decision","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Plum Powerball","Fruit/plums1.png","Lost","0.2,0.65","13","0.2","13","2","",""
"html-keyboard-response","14","94616","0.0-11.0-2.1","6400d9993ddcc2436a9f2e1a","bdp_rwlrn","Mon Mar 13 2023 12:33:47 GMT-0600 (Mountain Daylight Time)","338756","Untrustworthy,Trustworthy","","null","","","","decisionFB","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Plum Powerball","Fruit/plums1.png","Lost","0.2,0.65","13","0.2","11","2","",""
