"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","1","","","","","","","","","","","","","","","","","","","",""
"","","","","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","",""
"focus","1","2398","focusevent","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","instructions","1","21818","0.0-1.0","[{""page_index"":0,""viewing_time"":21809}]","21810","","","","","","","","","","","","","",""
"fullscreenexit","2","29435","fullscreenexit","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","fullscreen","2","30190","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","image-keyboard-response","3","59680","0.0-3.0-0.0","","29486","","","32","","","","","","","","","","",""
"","","","","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","instructions","4","288510","0.0-4.0","[{""page_index"":0,""viewing_time"":29888},{""page_index"":1,""viewing_time"":38014},{""page_index"":2,""viewing_time"":41152},{""page_index"":3,""viewing_time"":27696},{""page_index"":4,""viewing_time"":62256},{""page_index"":5,""viewing_time"":29559}]","228565","","","","","","","","","","","","","",""
"","","","","636570d91a49a6d6cbcbc854","bdp_rwlrn","Mon Mar 13 2023 21:38:44 GMT-0500 (GMT-05:00)","755416","Trustworthy,Untrustworthy","","html-keyboard-response","5","295774","0.0-5.0","","7262","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
