"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","3","0.0-0.0","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3651","0.0-1.0","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":3648}]","3648","","","","","","","","","","","","","","","","","","",""
"","","","","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","blur","2","7756","blurevent","1","","","","","","","","","","","","","",""
"","","","","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","focus","2","7860","focusevent","","","","","","","","","","","","","","",""
"","","","","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","blur","2","8625","blurevent","","","","","","","","","","","","","","",""
"","","","","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","focus","2","54076","focusevent","","","","","","","","","","","","","","",""
"","","","","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","fullscreenenter","2","55623","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","56589","0.0-2.0","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","112516","0.0-4.0","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":6518},{""page_index"":1,""viewing_time"":7775},{""page_index"":2,""viewing_time"":15985},{""page_index"":3,""viewing_time"":4335},{""page_index"":4,""viewing_time"":10017},{""page_index"":5,""viewing_time"":11296}]","55926","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","121508","0.0-5.0","631ce86c7a3ce20f628bae05","bdp_rwlrn","Sat Apr 08 2023 11:39:02 GMT-0400 (Eastern Daylight Time)","463268","Trustworthy,Untrustworthy","","8990","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
