"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","17","63702","0.0-11.0-1.2","","","749","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","9","3","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","18","63967","0.0-11.0-2.2","","","null","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","7","3","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","19","64989","0.0-11.0-3.2","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","1","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","11","3","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","20","65263","0.0-11.0-1.3","","","272","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Watermelon Win$","Fruit/watermelon.png","Won","0.35,0.8","12","0.35","16","4","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","21","65522","0.0-11.0-2.3","","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Watermelon Win$","Fruit/watermelon.png","Won","0.35,0.8","12","0.35","14","4","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","22","66524","0.0-11.0-3.3","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","2","Watermelon Win$","Fruit/watermelon.png","Won","0.35,0.8","12","0.35","18","4","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","23","66790","0.0-11.0-1.4","","","262","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","23","5","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","24","67041","0.0-11.0-2.4","","","null","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","21","5","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","25","68044","0.0-11.0-3.4","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","2","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","25","5","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","26","68279","0.0-11.0-1.5","","","233","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","30","6","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","27","68545","0.0-11.0-2.5","","","null","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","28","6","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","28","69548","0.0-11.0-3.5","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","2","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","32","6","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","29","69856","0.0-11.0-1.6","","","304","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","3","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","37","7","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","30","70119","0.0-11.0-2.6","","","null","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","3","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","35","7","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","31","71121","0.0-11.0-3.6","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","3","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","39","7","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","32","71367","0.0-11.0-1.7","","","246","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","3","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","44","8","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","33","71622","0.0-11.0-2.7","","","null","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","3","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","42","8","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","34","72637","0.0-11.0-3.7","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","3","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","46","8","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","35","72870","0.0-11.0-1.8","","","232","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","3","Watermelon Win$","Fruit/watermelon.png","Lost","0.35,0.8","12","0.35","51","9","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","36","73138","0.0-11.0-2.8","","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","3","Watermelon Win$","Fruit/watermelon.png","Lost","0.35,0.8","12","0.35","49","9","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","37","74154","0.0-11.0-3.8","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","3","Watermelon Win$","Fruit/watermelon.png","Lost","0.35,0.8","12","0.35","49","9","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","38","74478","0.0-11.0-1.9","","","323","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","4","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","54","10","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","39","74739","0.0-11.0-2.9","","","null","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","4","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","51","10","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","40","75741","0.0-11.0-3.9","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>6</strong></font></div>","null","4","Cherry Chances","Fruit/cherrie.png","Won","0.8,0.2","11","0.8","57","10","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","41","75975","0.0-11.0-1.10","","","233","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","4","Watermelon Win$","Fruit/watermelon.png","Lost","0.35,0.8","12","0.35","62","11","",""
"","","","decisionFB","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","42","76227","0.0-11.0-2.10","","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","4","Watermelon Win$","Fruit/watermelon.png","Lost","0.35,0.8","12","0.35","59","11","",""
"","","","feedback","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","43","77229","0.0-11.0-3.10","","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","4","Watermelon Win$","Fruit/watermelon.png","Lost","0.35,0.8","12","0.35","59","11","",""
"","","","decision","63d13bce0971871b9ff88f56","bdp_rwlrn","Wed Mar 15 2023 15:23:38 GMT-0400 (Eastern Daylight Time)","287899","Untrustworthy,Trustworthy","html-keyboard-response","44","77485","0.0-11.0-1.11","","","255","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","4","Plum Powerball","Fruit/plums1.png","Won","0.65,0.2","12","0.65","64","12","",""
