"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","blur","1","5409","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","focus","1","6028","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","85726","0.0-1.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","[{""page_index"":0,""viewing_time"":85724}]","85724","","","","","","","","","","","","","",""
"","","","","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","fullscreenenter","2","88710","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","89716","0.0-2.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","205131","0.0-4.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","[{""page_index"":0,""viewing_time"":12449},{""page_index"":1,""viewing_time"":29432},{""page_index"":2,""viewing_time"":14833},{""page_index"":3,""viewing_time"":11980},{""page_index"":4,""viewing_time"":40882},{""page_index"":5,""viewing_time"":5838}]","115414","","","","","","","","","","","","","",""
"html-keyboard-response","4","210100","0.0-5.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","","4967","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","212537","0.0-6.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","","2324","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","217830","0.0-7.0","6362406ab7caf5fc96bb61c8","bdp_rwlrn","Mon Mar 13 2023 14:39:27 GMT-0400 (Eastern Daylight Time)","662277","Trustworthy,Untrustworthy","","","","","","","5185","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
