"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"","","","","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","9","149080","0.0-9.0","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/watermelon.png'><br><strong>Watermelon Win$</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/lime.png'><br><strong>Limin' Large</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/mango.png'><br><strong>Mega Mangos</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"","","","","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","instructions","10","154567","0.0-10.0","[{""page_index"":0,""viewing_time"":2170},{""page_index"":1,""viewing_time"":3313}]","5485","","","","","","","","","","","","","",""
"","","","decision","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","11","161386","0.0-11.0-1.0","","6702","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Watermelon Win$","Fruit/watermelon.png","Won","0.65,0.2","10","0.65","5","1","",""
"","","","decisionFB","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","12","161662","0.0-11.0-2.0","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Won","0.65,0.2","10","0.65","0","1","",""
"","","","feedback","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","13","162671","0.0-11.0-3.0","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Won","0.65,0.2","10","0.65","10","1","",""
"","","","decision","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","14","167028","0.0-11.0-1.1","","4351","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Mega Mangos","Fruit/mango.png","Lost","0.2,0.8","11","0.2","15","2","",""
"","","","decisionFB","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","15","167282","0.0-11.0-2.1","","null","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Mega Mangos","Fruit/mango.png","Lost","0.2,0.8","11","0.2","12","2","",""
"","","","feedback","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","16","168302","0.0-11.0-3.1","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Mega Mangos","Fruit/mango.png","Lost","0.2,0.8","11","0.2","12","2","",""
"","","","decision","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","17","170292","0.0-11.0-1.2","","1984","","<div class='trialDiv'><img src='Fruit/lime.png'><br><font class='baseline'><strong>Limin' Large</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Limin' Large","Fruit/lime.png","Lost","0.2,0.65","12","0.2","17","3","",""
"","","","decisionFB","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","18","170561","0.0-11.0-2.2","","null","","<div class='trialDiv'><img src='Fruit/lime.png'><br><font class='baseline'><strong>Limin' Large</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Limin' Large","Fruit/lime.png","Lost","0.2,0.65","12","0.2","12","3","",""
