"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"html-keyboard-response","8","480000","0.0-9.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","null","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/mixed-berries2.png'><br><strong>Berry Bla$t</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/plums1.png'><br><strong>Plum Powerball</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","493661","0.0-10.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":6180},{""page_index"":1,""viewing_time"":7475}]","13657","","","","","","","","","","","","","","",""
"html-keyboard-response","10","497410","0.0-11.0-1.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","3639","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","5","1","",""
"html-keyboard-response","11","497665","0.0-11.0-2.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","3","1","",""
"html-keyboard-response","12","498675","0.0-11.0-3.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","1","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","7","1","",""
"html-keyboard-response","13","502152","0.0-11.0-1.1","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","3473","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","12","2","",""
"html-keyboard-response","14","502410","0.0-11.0-2.1","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","8","2","",""
"html-keyboard-response","15","503416","0.0-11.0-3.1","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>8</strong></font></div>","null","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","16","2","",""
"html-keyboard-response","16","507545","0.0-11.0-1.2","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","4119","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","21","3","",""
"html-keyboard-response","17","507799","0.0-11.0-2.2","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","17","3","",""
"html-keyboard-response","18","508804","0.0-11.0-3.2","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","17","3","",""
"html-keyboard-response","19","510689","0.0-11.0-1.3","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","1881","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","22","4","",""
"html-keyboard-response","20","510942","0.0-11.0-2.3","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","20","4","",""
"html-keyboard-response","21","511946","0.0-11.0-3.3","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","2","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","24","4","",""
"html-keyboard-response","22","514723","0.0-11.0-1.4","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","2771","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","29","5","",""
"html-keyboard-response","23","514977","0.0-11.0-2.4","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","27","5","",""
"html-keyboard-response","24","515980","0.0-11.0-3.4","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","2","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","27","5","",""
"html-keyboard-response","25","518061","0.0-11.0-1.5","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","2077","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","32","6","",""
"html-keyboard-response","26","518315","0.0-11.0-2.5","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","30","6","",""
"html-keyboard-response","27","519318","0.0-11.0-3.5","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","2","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","34","6","",""
"html-keyboard-response","28","521834","0.0-11.0-1.6","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","2513","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","3","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","39","7","",""
"html-keyboard-response","29","522093","0.0-11.0-2.6","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","3","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","35","7","",""
"html-keyboard-response","30","523102","0.0-11.0-3.6","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>8</strong></font></div>","null","3","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","43","7","",""
"html-keyboard-response","31","525606","0.0-11.0-1.7","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","2496","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","3","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","48","8","",""
"html-keyboard-response","32","525863","0.0-11.0-2.7","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","3","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","44","8","",""
"html-keyboard-response","33","526872","0.0-11.0-3.7","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>8</strong></font></div>","null","3","Plum Powerball","Fruit/plums1.png","Won","0.8,0.2","9","0.8","52","8","",""
"html-keyboard-response","34","530361","0.0-11.0-1.8","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","3482","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","3","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","57","9","",""
"html-keyboard-response","35","530616","0.0-11.0-2.8","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","3","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","54","9","",""
"html-keyboard-response","36","531626","0.0-11.0-3.8","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","3","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","54","9","",""
"html-keyboard-response","37","533714","0.0-11.0-1.9","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","2082","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","4","Plum Powerball","Fruit/plums1.png","Lost","0.8,0.2","9","0.8","59","10","",""
"html-keyboard-response","38","533972","0.0-11.0-2.9","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","4","Plum Powerball","Fruit/plums1.png","Lost","0.8,0.2","9","0.8","57","10","",""
"html-keyboard-response","39","534977","0.0-11.0-3.9","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/plums1.png'><br><font class='baseline'><strong>Plum Powerball</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","4","Plum Powerball","Fruit/plums1.png","Lost","0.8,0.2","9","0.8","57","10","",""
"html-keyboard-response","40","536914","0.0-11.0-1.10","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","1933","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","4","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","62","11","",""
"html-keyboard-response","41","537168","0.0-11.0-2.10","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","4","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","58","11","",""
"html-keyboard-response","42","538175","0.0-11.0-3.10","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","feedback","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","4","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","58","11","",""
"html-keyboard-response","43","540572","0.0-11.0-1.11","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decision","","2391","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","4","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","63","12","",""
"html-keyboard-response","44","540826","0.0-11.0-2.11","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","decisionFB","","null","","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","4","Great Grapes","Fruit/grapes.png","Won","0.8,0.35","8","0.8","61","12","",""
