"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","24","0.0-0.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","focus","1","7737","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","13479","0.0-1.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":13449}]","13450","","","","","","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","blur","2","17707","blurevent","","","1","","","","","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","focus","2","264556","focusevent","","","","","","","","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","fullscreenenter","2","266564","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","267353","0.0-2.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","453310","0.0-4.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":15052},{""page_index"":1,""viewing_time"":13364},{""page_index"":2,""viewing_time"":47095},{""page_index"":3,""viewing_time"":79878},{""page_index"":4,""viewing_time"":27742},{""page_index"":5,""viewing_time"":2819}]","185950","","","","","","","","","","","","","","",""
"html-keyboard-response","4","462938","0.0-5.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","9620","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","466343","0.0-6.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","3299","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","472621","0.0-7.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","6171","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","474892","0.0-8.0","5d1b0776e1c05200018b582d","bdp_rwlrn","Tue Mar 14 2023 21:50:20 GMT-0400 (Eastern Daylight Time)","861694","Trustworthy,Untrustworthy","","","","","","2166","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
