"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","blur","1","4711","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","focus","1","8324","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","9613","0.0-1.0","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":9610}]","9610","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","fullscreenenter","2","10973","fullscreenenter","","","","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","fullscreenexit","2","11572","fullscreenexit","","","","","","","","","","","","","","","","",""
"fullscreen","2","11960","0.0-2.0","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"image-keyboard-response","3","13654","0.0-3.0-0.0","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","","","","fullscreenfail","","","1691","","","32","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","blur","4","15992","blurevent","2","","","","","","","","","","","","","","","",""
"","","","","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","focus","4","16660","focusevent","","","","","","","","","","","","","","","","",""
"instructions","4","62309","0.0-4.0","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":11349},{""page_index"":1,""viewing_time"":10048},{""page_index"":2,""viewing_time"":5320},{""page_index"":3,""viewing_time"":6304},{""page_index"":4,""viewing_time"":14040},{""page_index"":5,""viewing_time"":1344}]","48405","","","","","","","","","","","","","",""
"html-keyboard-response","5","65389","0.0-5.0","571144323d47e800096358d9","bdp_rwlrn","Tue Mar 14 2023 00:37:03 GMT-0400 (Eastern Daylight Time)","339781","Untrustworthy,Trustworthy","","","","","","","3080","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
