"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","1656","blurevent","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","4637","focusevent","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","instructions","1","6433","0.0-1.0","","[{""page_index"":0,""viewing_time"":6429}]","6429","","","","","","","","","","","","","",""
"fullscreenexit","2","8833","fullscreenexit","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","fullscreen","2","9632","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","image-keyboard-response","3","11585","0.0-3.0-0.0","","","1947","","","32","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","instructions","4","33848","0.0-4.0","","[{""page_index"":0,""viewing_time"":4578},{""page_index"":1,""viewing_time"":3463},{""page_index"":2,""viewing_time"":2145},{""page_index"":3,""viewing_time"":2847},{""page_index"":4,""viewing_time"":7577},{""page_index"":5,""viewing_time"":1399}]","22010","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","html-keyboard-response","5","36235","0.0-5.0","","","2384","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_rwlrn","Sat Apr 08 2023 09:34:51 GMT-0600 (Mountain Daylight Time)","297398","Untrustworthy,Trustworthy","html-keyboard-response","6","37248","0.0-6.0","","","903","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
