"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face","numBlurs"
"pavlovia","0","6","0.0-0.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4054","0.0-1.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":4048}]","4048","","","","","","","","","","","","","","","","","","",""
"","","","","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","","fullscreenenter","2","7921","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","8872","0.0-2.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","94357","0.0-4.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":13757},{""page_index"":1,""viewing_time"":21611},{""page_index"":2,""viewing_time"":6893},{""page_index"":3,""viewing_time"":8708},{""page_index"":4,""viewing_time"":20243},{""page_index"":5,""viewing_time"":10193},{""page_index"":4,""viewing_time"":2428},{""page_index"":5,""viewing_time"":1650}]","85483","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","97739","0.0-5.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","3379","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","","",""
"html-keyboard-response","5","99490","0.0-6.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","1648","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"html-keyboard-response","6","105881","0.0-7.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","6289","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","","",""
"html-keyboard-response","7","107214","0.0-8.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","1230","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"html-keyboard-response","8","112319","0.0-9.0","5a983a931ade740001b8ea50","bdp_rwlrn","Wed Mar 15 2023 22:25:48 GMT-0500 (Central Daylight Time)","450144","Trustworthy,Untrustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/melon.png'><br><strong>Melon Millions</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/pears.png'><br><strong>Pears Aplenty</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/orange.png'><br><strong>Odds are Orange</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","","",""
