"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","pavlovia","0","8","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","instructions","1","1791","0.0-1.0","[{""page_index"":0,""viewing_time"":1781}]","1781","","","","","","","","","","","","","",""
"fullscreenexit","2","5420","fullscreenexit","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","fullscreen","2","6180","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","image-keyboard-response","3","7146","0.0-3.0-0.0","","962","","","32","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","instructions","4","17088","0.0-4.0","[{""page_index"":0,""viewing_time"":2003},{""page_index"":1,""viewing_time"":1429},{""page_index"":2,""viewing_time"":973},{""page_index"":3,""viewing_time"":1046},{""page_index"":4,""viewing_time"":563},{""page_index"":5,""viewing_time"":3674}]","9688","","","","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","5","23595","0.0-5.0","","6505","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","6","25853","0.0-6.0","","2150","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p style='color:#FF0000'>b) 1</p><p>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","7","28697","0.0-7.0","","2732","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","A","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","8","29976","0.0-8.0","","1167","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p style='color:#FF0000'>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","9","35088","0.0-9.0","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/mango.png'><br><strong>Mega Mangos</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/watermelon.png'><br><strong>Watermelon Win$</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"","","","","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","instructions","10","36693","0.0-10.0","[{""page_index"":0,""viewing_time"":874},{""page_index"":1,""viewing_time"":731}]","1605","","","","","","","","","","","","","",""
"","","","decision","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","11","37763","0.0-11.0-1.0","","963","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.2","13","0.8","5","1","",""
"","","","decisionFB","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","12","38022","0.0-11.0-2.0","","null","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.2","13","0.8","0","1","",""
"","","","feedback","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","13","39035","0.0-11.0-3.0","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","1","Great Grapes","Fruit/grapes.png","Won","0.8,0.2","13","0.8","10","1","",""
"","","","decision","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","14","39536","0.0-11.0-1.1","","500","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.8,0.35","13","0.8","15","2","",""
"","","","decisionFB","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","15","39801","0.0-11.0-2.1","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.8,0.35","13","0.8","10","2","",""
"","","","feedback","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","16","40814","0.0-11.0-3.1","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.8,0.35","13","0.8","10","2","",""
"","","","decision","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","17","41495","0.0-11.0-1.2","","680","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Mega Mangos","Fruit/mango.png","Lost","0.35,0.8","11","0.35","15","3","",""
"","","","decisionFB","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","18","41752","0.0-11.0-2.2","","null","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Mega Mangos","Fruit/mango.png","Lost","0.35,0.8","11","0.35","10","3","",""
"","","","feedback","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","19","42759","0.0-11.0-3.2","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Mega Mangos","Fruit/mango.png","Lost","0.35,0.8","11","0.35","10","3","",""
"","","","decision","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","20","91817","0.0-11.0-1.3","","49058","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","2","Great Grapes","Fruit/grapes.png","Won","0.8,0.2","13","0.8","15","4","",""
"","","","decisionFB","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","21","92076","0.0-11.0-2.3","","null","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","2","Great Grapes","Fruit/grapes.png","Won","0.8,0.2","13","0.8","10","4","",""
"","","","feedback","63d13b5ec81c77c3030c51c5","bdp_rwlrn","Tue Mar 14 2023 21:14:55 GMT-0400 (Eastern Daylight Time)","303035","Untrustworthy,Trustworthy","html-keyboard-response","22","93081","0.0-11.0-3.3","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","2","Great Grapes","Fruit/grapes.png","Won","0.8,0.2","13","0.8","20","4","",""
