"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","instructions","1","4542","0.0-1.0","[{""page_index"":0,""viewing_time"":4539}]","4539","","","","","","","","","","","","","","",""
"fullscreenenter","2","7894","fullscreenenter","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","2","8479","blurevent","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","","","","","","","1","","","","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","fullscreen","2","8893","0.0-2.0","","","","true","","","","","","","","","","","","",""
"focus","3","19777","focusevent","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","instructions","3","62509","0.0-4.0","[{""page_index"":0,""viewing_time"":11301},{""page_index"":1,""viewing_time"":8082},{""page_index"":2,""viewing_time"":10471},{""page_index"":3,""viewing_time"":4760},{""page_index"":4,""viewing_time"":13341},{""page_index"":5,""viewing_time"":5659}]","53615","","","","","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","4","67860","0.0-5.0","","5350","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","5","71527","0.0-6.0","","3560","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","6","74755","0.0-7.0","","3124","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","7","76020","0.0-8.0","","1157","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","8","81135","0.0-9.0","","null","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/cherrie.png'><br><strong>Cherry Chances</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/mixed-berries2.png'><br><strong>Berry Bla$t</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","instructions","9","85962","0.0-10.0","[{""page_index"":0,""viewing_time"":1043},{""page_index"":1,""viewing_time"":3784}]","4827","","","","","","","","","","","","","","",""
"","","","decision","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","10","88478","0.0-11.0-1.0","","2406","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","12","0.2","5","1","",""
"","","","decisionFB","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","11","88735","0.0-11.0-2.0","","null","","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","12","0.2","2","1","",""
"","","","feedback","608590825d295c858cbe7fa9","bdp_rwlrn","Mon Mar 13 2023 12:05:12 GMT-0700 (Pacific Daylight Time)","399734","Trustworthy,Untrustworthy","html-keyboard-response","12","89743","0.0-11.0-3.0","","null","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","12","0.2","2","1","",""
