"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face","numBlurs"
"focus","0","0","focusevent","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","instructions","1","11641","0.0-1.0","[{""page_index"":0,""viewing_time"":11637}]","11637","","","","","","","","","","","","","","",""
"fullscreenexit","2","14557","fullscreenexit","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","fullscreen","2","15557","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","image-keyboard-response","3","19027","0.0-3.0-0.0","","3464","","","32","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","instructions","4","126172","0.0-4.0","[{""page_index"":0,""viewing_time"":7924},{""page_index"":1,""viewing_time"":25307},{""page_index"":2,""viewing_time"":2596},{""page_index"":3,""viewing_time"":9668},{""page_index"":4,""viewing_time"":31522},{""page_index"":5,""viewing_time"":6771},{""page_index"":4,""viewing_time"":13663},{""page_index"":5,""viewing_time"":9441}]","106892","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","html-keyboard-response","5","132306","0.0-5.0","","6130","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","html-keyboard-response","6","134282","0.0-6.0","","1868","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","html-keyboard-response","7","139603","0.0-7.0","","5216","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","html-keyboard-response","8","141333","0.0-8.0","","1622","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","html-keyboard-response","9","146439","0.0-9.0","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/Kiwi.png'><br><strong>Kiwi Kash</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/pineapple.png'><br><strong>Primo Pineapple</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/apple.png'><br><strong>Awesome Apples</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","","",""
"","","","","lempert4","bdp_rwlrn","Thu Feb 23 2023 11:36:56 GMT-0500 (Eastern Standard Time)","675958","Untrustworthy,Trustworthy","instructions","10","152776","0.0-10.0","[{""page_index"":0,""viewing_time"":4466},{""page_index"":1,""viewing_time"":1869}]","6336","","","","","","","","","","","","","","",""
