"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"blur","0","0","blurevent","1","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","instructions","1","2227","0.0-1.0","[{""page_index"":0,""viewing_time"":2218}]","2219","","","","","","","","","","","","","",""
"fullscreenenter","2","3987","fullscreenenter","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","fullscreen","2","4981","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","instructions","3","25632","0.0-4.0","[{""page_index"":0,""viewing_time"":3643},{""page_index"":1,""viewing_time"":4284},{""page_index"":2,""viewing_time"":1247},{""page_index"":3,""viewing_time"":2634},{""page_index"":4,""viewing_time"":7744},{""page_index"":5,""viewing_time"":1098}]","20650","","","","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","html-keyboard-response","4","29548","0.0-5.0","","3915","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","html-keyboard-response","5","30752","0.0-6.0","","1102","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","","63e576170eb086a90644efb4","bdp_rwlrn","Mon Mar 13 2023 00:02:30 GMT-0400 (Eastern Daylight Time)","371285","Untrustworthy,Trustworthy","html-keyboard-response","6","33569","0.0-7.0","","2715","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
