"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"html-keyboard-response","8","105018","0.0-9.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/watermelon.png'><br><strong>Watermelon Win$</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/pineapple.png'><br><strong>Primo Pineapple</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/cherrie.png'><br><strong>Cherry Chances</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","","blur","9","117435","blurevent","","","","1","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","","focus","9","120069","focusevent","","","","","","","","","","","","","","",""
"instructions","9","143741","0.0-10.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":21139},{""page_index"":1,""viewing_time"":17584}]","38723","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","147003","0.0-11.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","3154","","","","decision","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","","1","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","5","1","",""
"html-keyboard-response","11","147262","0.0-11.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","","1","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","3","1","",""
"html-keyboard-response","12","148271","0.0-11.0-3.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","","1","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","7","1","",""
"html-keyboard-response","13","150671","0.0-11.0-1.1","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","2398","","","","decision","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","","1","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","12","2","",""
"html-keyboard-response","14","150922","0.0-11.0-2.1","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","","1","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","8","2","",""
"html-keyboard-response","15","151928","0.0-11.0-3.1","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>8</strong></font></div>","null","","1","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","16","2","",""
"html-keyboard-response","16","156196","0.0-11.0-1.2","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","4268","","","","decision","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","1","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","21","3","",""
"html-keyboard-response","17","156458","0.0-11.0-2.2","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","","1","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","16","3","",""
"html-keyboard-response","18","157462","0.0-11.0-3.2","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","","1","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","16","3","",""
"html-keyboard-response","19","158287","0.0-11.0-1.3","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","824","","","","decision","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","2","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","21","4","",""
"html-keyboard-response","20","158545","0.0-11.0-2.3","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","","2","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","16","4","",""
"html-keyboard-response","21","159553","0.0-11.0-3.3","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","","2","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","26","4","",""
"html-keyboard-response","22","160087","0.0-11.0-1.4","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","534","","","","decision","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","2","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","31","5","",""
"html-keyboard-response","23","160345","0.0-11.0-2.4","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","","2","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","26","5","",""
"html-keyboard-response","24","161350","0.0-11.0-3.4","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","","2","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","36","5","",""
"html-keyboard-response","25","163575","0.0-11.0-1.5","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","2223","","","","decision","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","","2","Primo Pineapple","Fruit/pineapple.png","Won","0.2,0.65","12","0.2","41","6","",""
"html-keyboard-response","26","163830","0.0-11.0-2.5","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","","2","Primo Pineapple","Fruit/pineapple.png","Won","0.2,0.65","12","0.2","40","6","",""
"html-keyboard-response","27","164839","0.0-11.0-3.5","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","","2","Primo Pineapple","Fruit/pineapple.png","Won","0.2,0.65","12","0.2","42","6","",""
"html-keyboard-response","28","165532","0.0-11.0-1.6","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","692","","","","decision","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","","3","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","47","7","",""
"html-keyboard-response","29","165792","0.0-11.0-2.6","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","","3","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","46","7","",""
"html-keyboard-response","30","166801","0.0-11.0-3.6","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","","3","Cherry Chances","Fruit/cherrie.png","Won","0.65,0.2","9","0.65","48","7","",""
"html-keyboard-response","31","168592","0.0-11.0-1.7","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","1791","","","","decision","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","","3","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","53","8","",""
"html-keyboard-response","32","168846","0.0-11.0-2.7","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","","3","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","52","8","",""
"html-keyboard-response","33","169858","0.0-11.0-3.7","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","","3","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","52","8","",""
"html-keyboard-response","34","170314","0.0-11.0-1.8","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","455","","","","decision","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","3","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","57","9","",""
"html-keyboard-response","35","170566","0.0-11.0-2.8","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","","3","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","52","9","",""
"html-keyboard-response","36","171578","0.0-11.0-3.8","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","","3","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","62","9","",""
"html-keyboard-response","37","171889","0.0-11.0-1.9","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","310","","","","decision","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","4","Cherry Chances","Fruit/cherrie.png","Lost","0.65,0.2","9","0.65","67","10","",""
"html-keyboard-response","38","172143","0.0-11.0-2.9","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","","4","Cherry Chances","Fruit/cherrie.png","Lost","0.65,0.2","9","0.65","62","10","",""
"html-keyboard-response","39","173153","0.0-11.0-3.9","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/cherrie.png'><br><font class='baseline'><strong>Cherry Chances</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","","4","Cherry Chances","Fruit/cherrie.png","Lost","0.65,0.2","9","0.65","62","10","",""
"html-keyboard-response","40","173418","0.0-11.0-1.10","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","265","","","","decision","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","4","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","67","11","",""
"html-keyboard-response","41","173670","0.0-11.0-2.10","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","","4","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","62","11","",""
"html-keyboard-response","42","174678","0.0-11.0-3.10","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","","4","Watermelon Win$","Fruit/watermelon.png","Won","0.8,0.2","12","0.8","72","11","",""
"html-keyboard-response","43","175365","0.0-11.0-1.11","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","686","","","","decision","","<div class='trialDiv'><img src='Fruit/pineapple.png'><br><font class='baseline'><strong>Primo Pineapple</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","","4","Primo Pineapple","Fruit/pineapple.png","Lost","0.2,0.65","12","0.2","77","12","",""
