"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","4","0.0-0.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6769","0.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":6764}]","6764","","","","","","","","","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","","fullscreenenter","2","8569","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","9568","0.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","","fullscreenexit","3","9764","fullscreenexit","","","","","","","","","","","","","","",""
"instructions","3","81279","0.0-4.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":12636},{""page_index"":1,""viewing_time"":10079},{""page_index"":2,""viewing_time"":5873},{""page_index"":3,""viewing_time"":18946},{""page_index"":4,""viewing_time"":20666},{""page_index"":5,""viewing_time"":3510}]","71710","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","89594","0.0-5.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","8313","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","","",""
"html-keyboard-response","5","92023","0.0-6.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","2323","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"html-keyboard-response","6","98717","0.0-7.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","6589","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","","",""
"html-keyboard-response","7","99898","0.0-8.0","63d82d20ed2b67b4f77f1fc7","bdp_rwlrn","Wed Mar 15 2023 12:12:15 GMT-0700 (Pacific Daylight Time)","408135","Trustworthy,Untrustworthy","","1080","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
