"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","pavlovia","0","11","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","instructions","1","4566","0.0-1.0","[{""page_index"":0,""viewing_time"":4555}]","4555","","","","","","","","","","","","","","",""
"blur","2","8052","blurevent","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","","","","","","","1","","","","","","","","","","","","","",""
"focus","2","8101","focusevent","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","8104","fullscreenexit","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","fullscreen","2","8814","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","image-keyboard-response","3","15180","0.0-3.0-0.0","","6361","","","","32","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","instructions","4","89776","0.0-4.0","[{""page_index"":0,""viewing_time"":11497},{""page_index"":1,""viewing_time"":17475},{""page_index"":2,""viewing_time"":8424},{""page_index"":3,""viewing_time"":9850},{""page_index"":4,""viewing_time"":17494},{""page_index"":5,""viewing_time"":9595}]","74335","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_rwlrn","Tue Mar 14 2023 12:57:48 GMT-0400 (Eastern Daylight Time)","490008","Trustworthy,Untrustworthy","html-keyboard-response","5","99578","0.0-5.0","","9799","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
