"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","1","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","pavlovia","0","9","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","instructions","1","3172","0.0-1.0","[{""page_index"":0,""viewing_time"":3160}]","3160","","","","","","","","","","","","","",""
"fullscreenexit","2","6976","fullscreenexit","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","fullscreen","2","7709","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","image-keyboard-response","3","17911","0.0-3.0-0.0","","10197","","","32","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","instructions","4","61488","0.0-4.0","[{""page_index"":0,""viewing_time"":9135},{""page_index"":1,""viewing_time"":13005},{""page_index"":2,""viewing_time"":4486},{""page_index"":3,""viewing_time"":5047},{""page_index"":4,""viewing_time"":10485},{""page_index"":5,""viewing_time"":1167}]","43325","","","","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","5","66359","0.0-5.0","","4867","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","6","67672","0.0-6.0","","1208","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","7","74231","0.0-7.0","","6458","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","8","75757","0.0-8.0","","1422","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","9","80884","0.0-9.0","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/mixed-berries2.png'><br><strong>Berry Bla$t</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/pears.png'><br><strong>Pears Aplenty</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"","","","","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","instructions","10","85601","0.0-10.0","[{""page_index"":0,""viewing_time"":1314},{""page_index"":1,""viewing_time"":3401}]","4716","","","","","","","","","","","","","",""
"","","","decision","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","11","86948","0.0-11.0-1.0","","1241","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","5","1","",""
"","","","decisionFB","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","12","87202","0.0-11.0-2.0","","null","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","1","1","",""
"","","","feedback","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","13","88215","0.0-11.0-3.0","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Lost","0.2,0.65","8","0.2","1","1","",""
"","","","decision","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","14","90382","0.0-11.0-1.1","","2164","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Pears Aplenty","Fruit/pears.png","Lost","0.2,0.8","11","0.2","6","2","",""
"","","","decisionFB","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","15","90633","0.0-11.0-2.1","","null","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Pears Aplenty","Fruit/pears.png","Lost","0.2,0.8","11","0.2","2","2","",""
"","","","feedback","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","16","91647","0.0-11.0-3.1","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Pears Aplenty","Fruit/pears.png","Lost","0.2,0.8","11","0.2","2","2","",""
"","","","decision","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","17","92431","0.0-11.0-1.2","","782","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Great Grapes","Fruit/grapes.png","Lost","0.8,0.35","9","0.8","7","3","",""
"","","","decisionFB","63e55887d67a5c7e32a678fa","bdp_rwlrn","Mon Mar 13 2023 13:30:23 GMT-0500 (Central Daylight Time)","361036","Untrustworthy,Trustworthy","","html-keyboard-response","18","92698","0.0-11.0-2.2","","null","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Great Grapes","Fruit/grapes.png","Lost","0.8,0.35","9","0.8","3","3","",""
