"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","",""
"","","","","focus","1","557820","focusevent",""
"","","","","blur","1","559475","blurevent","1"
