"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face","numBlurs"
"pavlovia","0","2","0.0-0.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","1788","0.0-1.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1785}]","1785","","","","","","","","","","","","","","","","","","",""
"","","","","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","","fullscreenenter","2","4765","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","5690","0.0-2.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","54813","0.0-4.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":9301},{""page_index"":1,""viewing_time"":29182},{""page_index"":2,""viewing_time"":1652},{""page_index"":3,""viewing_time"":3593},{""page_index"":4,""viewing_time"":3177},{""page_index"":5,""viewing_time"":2217}]","49122","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","57647","0.0-5.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","2832","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","","","","",""
"html-keyboard-response","5","61023","0.0-6.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","3274","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p style='color:#FF0000'>b) 1</p><p>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"html-keyboard-response","6","67599","0.0-7.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","6473","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","A","","","","","","","","","","","",""
"html-keyboard-response","7","70167","0.0-8.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","2464","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p style='color:#FF0000'>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","","",""
"html-keyboard-response","8","75272","0.0-9.0","631bc422eec20143118ad66b","bdp_rwlrn","Fri Mar 10 2023 15:10:20 GMT-0500 (Eastern Standard Time)","316584","Untrustworthy,Trustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/mango.png'><br><strong>Mega Mangos</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/lime.png'><br><strong>Limin' Large</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","","",""
