"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","1","1215","0.0-1.0","[{""page_index"":0,""viewing_time"":1212}]","1212","","","","","","","","","","","",""
"fullscreenexit","2","3989","fullscreenexit","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","fullscreen","2","4773","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","3","5666","0.0-3.0-0.0","","892","","","32","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","4","41443","0.0-4.0","[{""page_index"":0,""viewing_time"":16572},{""page_index"":1,""viewing_time"":18937}]","35510","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","5","42395","0.0-5.0","[{""page_index"":0,""viewing_time"":952}]","952","","","","","","","","","","","",""
"","","","rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","6","46180","0.0-6.0-1.0","","3667","","trustrating_stim/white_mw084.bmp","3","","","","","","","","",""
"","","","ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","7","46391","0.0-6.0-2.0","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"","","","rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","8","48344","0.0-6.0-1.1","","1833","","trustrating_stim/white_mw085.bmp","1","","","","","","","","",""
"","","","ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","9","48551","0.0-6.0-2.1","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","",""
