"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","3","0.0-0.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","","","","","","","","","","","","","","","","",""
"instructions","1","988","0.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","[{""page_index"":0,""viewing_time"":984}]","984","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","","fullscreenenter","2","2953","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","3927","0.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","","","","","","true","","","","","","","","","","",""
"instructions","3","6899","0.0-4.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","[{""page_index"":0,""viewing_time"":965},{""page_index"":1,""viewing_time"":2006}]","2971","","","","","","","","","","","","","","","",""
"instructions","4","10804","0.0-5.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","[{""page_index"":0,""viewing_time"":3905}]","3905","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","13395","0.0-6.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","2486","","","","rating","","trustrating_stim/white_mw001.bmp","9","","","","","","","","",""
"image-keyboard-response","6","13599","0.0-6.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","null","","","","ratingFB","","trustrating_stim/white_mw001.bmp","null","","","","","","","","",""
"image-keyboard-response","7","14107","0.0-6.0-1.1","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","406","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","8","","","","","","","","",""
"image-keyboard-response","8","14310","0.0-6.0-2.1","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","9","14667","0.0-6.0-1.2","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","254","","","","rating","","trustrating_stim/white_mw019.bmp","7","","","","","","","","",""
"image-keyboard-response","10","14869","0.0-6.0-2.2","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","null","","","","ratingFB","","trustrating_stim/white_mw019.bmp","null","","","","","","","","",""
"image-keyboard-response","11","15194","0.0-6.0-1.3","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","222","","","","rating","","trustrating_stim/white_mw028.bmp","6","","","","","","","","",""
"image-keyboard-response","12","15395","0.0-6.0-2.3","dstest","bdp_trlrn","Wed Sep 09 2020 00:06:25 GMT-0400 (Eastern Daylight Time)","65869","","null","","","","ratingFB","","trustrating_stim/white_mw028.bmp","null","","","","","","","","",""
