"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round","numBlurs"
"image-keyboard-response","27","23511","0.0-6.0-1.11","","","","rating","","97","","trustrating_stim/white_mw019.bmp","2","","","","","","","","","",""
"image-keyboard-response","28","23712","0.0-6.0-2.11","","","","ratingFB","","null","","trustrating_stim/white_mw019.bmp","null","","","","","","","","","",""
"image-keyboard-response","29","23917","0.0-6.0-1.12","","","","rating","","103","","trustrating_stim/white_00960_960627_fb_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","30","24120","0.0-6.0-2.12","","","","ratingFB","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","31","24288","0.0-6.0-1.13","","","","rating","","67","","trustrating_stim/white_00120_931230_fa_edt.bmp","4","","","","","","","","","",""
"image-keyboard-response","32","24490","0.0-6.0-2.13","","","","ratingFB","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","33","24605","0.0-6.0-1.14","","","","rating","","11","","trustrating_stim/white_00761_941201_fb_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","34","24807","0.0-6.0-2.14","","","","ratingFB","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","35","24966","0.0-6.0-1.15","","","","rating","","58","","trustrating_stim/white_00658_941121_fb_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","36","25167","0.0-6.0-2.15","","","","ratingFB","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","37","25345","0.0-6.0-1.16","","","","rating","","77","","trustrating_stim/white_00807_941205_fb_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","38","25548","0.0-6.0-2.16","","","","ratingFB","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","39","25662","0.0-6.0-1.17","","","","rating","","12","","trustrating_stim/white_mw058.bmp","4","","","","","","","","","",""
"image-keyboard-response","40","25865","0.0-6.0-2.17","","","","ratingFB","","null","","trustrating_stim/white_mw058.bmp","null","","","","","","","","","",""
"image-keyboard-response","41","25967","0.0-6.0-1.18","","","","rating","","0","","trustrating_stim/white_mw072.bmp","2","","","","","","","","","",""
"image-keyboard-response","42","26169","0.0-6.0-2.18","","","","ratingFB","","null","","trustrating_stim/white_mw072.bmp","null","","","","","","","","","",""
"image-keyboard-response","43","26357","0.0-6.0-1.19","","","","rating","","86","","trustrating_stim/white_mw016.bmp","2","","","","","","","","","",""
"image-keyboard-response","44","26559","0.0-6.0-2.19","","","","ratingFB","","null","","trustrating_stim/white_mw016.bmp","null","","","","","","","","","",""
"image-keyboard-response","45","26821","0.0-6.0-1.20","","","","rating","","161","","trustrating_stim/white_mw097.bmp","2","","","","","","","","","",""
"image-keyboard-response","46","27026","0.0-6.0-2.20","","","","ratingFB","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","",""
"image-keyboard-response","47","27134","0.0-6.0-1.21","","","","rating","","5","","trustrating_stim/white_mw006.bmp","1","","","","","","","","","",""
"image-keyboard-response","48","27336","0.0-6.0-2.21","","","","ratingFB","","null","","trustrating_stim/white_mw006.bmp","null","","","","","","","","","",""
"image-keyboard-response","49","27446","0.0-6.0-1.22","","","","rating","","6","","trustrating_stim/white_mw089.bmp","4","","","","","","","","","",""
"image-keyboard-response","50","27647","0.0-6.0-2.22","","","","ratingFB","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","",""
"image-keyboard-response","51","27798","0.0-6.0-1.23","","","","rating","","47","","trustrating_stim/white_mw054.bmp","3","","","","","","","","","",""
"image-keyboard-response","52","28003","0.0-6.0-2.23","","","","ratingFB","","null","","trustrating_stim/white_mw054.bmp","null","","","","","","","","","",""
"image-keyboard-response","53","28294","0.0-6.0-1.24","","","","rating","","188","","trustrating_stim/white_00602_940928_fb_edt.bmp","5","","","","","","","","","",""
"image-keyboard-response","54","28498","0.0-6.0-2.24","","","","ratingFB","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","55","28806","0.0-6.0-1.25","","","","rating","","205","","trustrating_stim/white_00757_941201_fa_edt.bmp","5","","","","","","","","","",""
"image-keyboard-response","56","29009","0.0-6.0-2.25","","","","ratingFB","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","57","29190","0.0-6.0-1.26","","","","rating","","76","","trustrating_stim/white_mw040.bmp","2","","","","","","","","","",""
"image-keyboard-response","58","29394","0.0-6.0-2.26","","","","ratingFB","","null","","trustrating_stim/white_mw040.bmp","null","","","","","","","","","",""
"image-keyboard-response","59","29606","0.0-6.0-1.27","","","","rating","","110","","trustrating_stim/white_mw085.bmp","5","","","","","","","","","",""
"image-keyboard-response","60","29807","0.0-6.0-2.27","","","","ratingFB","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","","",""
"image-keyboard-response","61","30078","0.0-6.0-1.28","","","","rating","","169","","trustrating_stim/white_00223_940128_fb_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","62","30282","0.0-6.0-2.28","","","","ratingFB","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","63","30446","0.0-6.0-1.29","","","","rating","","63","","trustrating_stim/white_mw051.bmp","5","","","","","","","","","",""
"image-keyboard-response","64","30650","0.0-6.0-2.29","","","","ratingFB","","null","","trustrating_stim/white_mw051.bmp","null","","","","","","","","","",""
"image-keyboard-response","65","30783","0.0-6.0-1.30","","","","rating","","31","","trustrating_stim/white_00657_941121_fa_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","66","30985","0.0-6.0-2.30","","","","ratingFB","","null","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","67","31118","0.0-6.0-1.31","","","","rating","","31","","trustrating_stim/white_00253_940128_fa_edt.bmp","5","","","","","","","","","",""
"image-keyboard-response","68","31322","0.0-6.0-2.31","","","","ratingFB","","null","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","69","31509","0.0-6.0-1.32","","","","rating","","86","","trustrating_stim/white_mw066.bmp","2","","","","","","","","","",""
"image-keyboard-response","70","31713","0.0-6.0-2.32","","","","ratingFB","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","",""
"image-keyboard-response","71","31861","0.0-6.0-1.33","","","","rating","","44","","trustrating_stim/white_mw012.bmp","5","","","","","","","","","",""
"image-keyboard-response","72","32066","0.0-6.0-2.33","","","","ratingFB","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","","",""
"image-keyboard-response","73","32181","0.0-6.0-1.34","","","","rating","","11","","trustrating_stim/white_mw035.bmp","4","","","","","","","","","",""
"image-keyboard-response","74","32384","0.0-6.0-2.34","","","","ratingFB","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","",""
"image-keyboard-response","75","32701","0.0-6.0-1.35","","","","rating","","211","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","",""
"image-keyboard-response","76","32902","0.0-6.0-2.35","","","","ratingFB","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","",""
"image-keyboard-response","77","33037","0.0-6.0-1.36","","","","rating","","30","","trustrating_stim/white_mw004.bmp","3","","","","","","","","","",""
"image-keyboard-response","78","33239","0.0-6.0-2.36","","","","ratingFB","","null","","trustrating_stim/white_mw004.bmp","null","","","","","","","","","",""
"image-keyboard-response","79","33398","0.0-6.0-1.37","","","","rating","","55","","trustrating_stim/white_mw025.bmp","3","","","","","","","","","",""
"image-keyboard-response","80","33604","0.0-6.0-2.37","","","","ratingFB","","null","","trustrating_stim/white_mw025.bmp","null","","","","","","","","","",""
"image-keyboard-response","81","33870","0.0-6.0-1.38","","","","rating","","165","","trustrating_stim/white_mw082.bmp","2","","","","","","","","","",""
"image-keyboard-response","82","34072","0.0-6.0-2.38","","","","ratingFB","","null","","trustrating_stim/white_mw082.bmp","null","","","","","","","","","",""
"image-keyboard-response","83","34199","0.0-6.0-1.39","","","","rating","","24","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","","",""
"image-keyboard-response","84","34404","0.0-6.0-2.39","","","","ratingFB","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","",""
"instructions","85","35997","0.0-7.0","","","","","[{""page_index"":0,""viewing_time"":1492}]","1492","","","","","","","","","","","","",""
"instructions","86","54801","0.0-8.0","","","","","[{""page_index"":0,""viewing_time"":2424},{""page_index"":1,""viewing_time"":3132},{""page_index"":2,""viewing_time"":2116},{""page_index"":3,""viewing_time"":1316},{""page_index"":4,""viewing_time"":2264},{""page_index"":3,""viewing_time"":1000},{""page_index"":4,""viewing_time"":2499},{""page_index"":5,""viewing_time"":3125},{""page_index"":6,""viewing_time"":827}]","18703","","","","","","","","","","","","",""
"html-keyboard-response","87","56726","0.0-9.0","","","","","","1924","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","",""
"html-keyboard-response","88","57389","0.0-10.0","","","","","","558","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#FF0000'>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"html-keyboard-response","89","57934","0.0-11.0","","","","","","442","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","B","","","","","","","","","",""
"html-keyboard-response","90","58438","0.0-12.0","","","","","","403","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p style='color:#00FF00'>b) 5</p><p>c) 3</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The maximum number of points you can choose to send to your partner is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"html-keyboard-response","91","58822","0.0-13.0","","","","","","280","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p>c) It quadruples</p>","C","","","","","","","","","",""
"html-keyboard-response","92","59126","0.0-14.0","","","","","","198","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p style='color:#00FF00'>c) It quadruples</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The amount of points you send to your partner quadruples.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"html-keyboard-response","93","59310","0.0-15.0","","","","","","79","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 out of 5 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p>c) 9</p>","C","","","","","","","","","",""
"html-keyboard-response","94","59605","0.0-16.0","","","","","","193","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p style='color:#00FF00'>c) 9</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>If you share 4 out of 5 points with your partner and he decided to share half with you, you would receive 8 points back (i.e. (4 x 4)/2 = 8), totaling to 9 points altogether.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"instructions","95","60385","0.0-17.0","","","","","[{""page_index"":0,""viewing_time"":675}]","675","","","","","","","","","","","","",""
"html-keyboard-response","96","61734","0.0-18.0-1.0","","","","decision","","1244","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Joseph","trustrating_stim/white_mw071.bmp","Kept","0.2,0.6","11","0.2","5","1",""
"html-keyboard-response","97","61988","0.0-18.0-2.0","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Joseph","trustrating_stim/white_mw071.bmp","Kept","0.2,0.6","11","0.2","0","1",""
"html-keyboard-response","98","62990","0.0-18.0-3.0","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Joseph","trustrating_stim/white_mw071.bmp","Kept","0.2,0.6","11","0.2","0","1",""
"html-keyboard-response","99","63673","0.0-18.0-1.1","","","","decision","","682","","<div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Nathan","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.8,0.4","12","0.8","5","2",""
"html-keyboard-response","100","63929","0.0-18.0-2.1","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Nathan","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.8,0.4","12","0.8","0","2",""
"html-keyboard-response","101","64933","0.0-18.0-3.1","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Nathan","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.8,0.4","12","0.8","10","2",""
"html-keyboard-response","102","65358","0.0-18.0-1.2","","","","decision","","425","","<div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Michael</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Michael","trustrating_stim/white_00785_941205_fb_edt.bmp","Kept","0.6,0.2","13","0.6","15","3",""
"html-keyboard-response","103","65614","0.0-18.0-2.2","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Michael</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Michael","trustrating_stim/white_00785_941205_fb_edt.bmp","Kept","0.6,0.2","13","0.6","10","3",""
"html-keyboard-response","104","66617","0.0-18.0-3.2","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Michael</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Michael","trustrating_stim/white_00785_941205_fb_edt.bmp","Kept","0.6,0.2","13","0.6","10","3",""
"html-keyboard-response","105","67009","0.0-18.0-1.3","","","","decision","","391","","<div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Marcus</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Marcus","trustrating_stim/white_mw099.bmp","Shared","0.4,0.8","12","0.4","15","4",""
"html-keyboard-response","106","67262","0.0-18.0-2.3","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Marcus</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Marcus","trustrating_stim/white_mw099.bmp","Shared","0.4,0.8","12","0.4","10","4",""
"html-keyboard-response","107","68265","0.0-18.0-3.3","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Marcus</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Marcus","trustrating_stim/white_mw099.bmp","Shared","0.4,0.8","12","0.4","20","4",""
"html-keyboard-response","108","69908","0.0-18.0-1.4","","","","decision","","1643","","<div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Michael</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","2","Michael","trustrating_stim/white_00785_941205_fb_edt.bmp","Shared","0.6,0.2","13","0.6","25","5",""
"html-keyboard-response","109","70163","0.0-18.0-2.4","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Michael</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","2","Michael","trustrating_stim/white_00785_941205_fb_edt.bmp","Shared","0.6,0.2","13","0.6","24","5",""
"html-keyboard-response","110","71166","0.0-18.0-3.4","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Michael</strong><p>Received: <strong>4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>2</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","Michael","trustrating_stim/white_00785_941205_fb_edt.bmp","Shared","0.6,0.2","13","0.6","26","5",""
"html-keyboard-response","111","71493","0.0-18.0-1.5","","","","decision","","326","","<div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","Nathan","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.8,0.4","12","0.8","31","6",""
"html-keyboard-response","112","71747","0.0-18.0-2.5","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","Nathan","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.8,0.4","12","0.8","29","6",""
"html-keyboard-response","113","72750","0.0-18.0-3.5","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Received: <strong>8</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>4</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","Nathan","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.8,0.4","12","0.8","33","6",""
"html-keyboard-response","114","73021","0.0-18.0-1.6","","","","decision","","270","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","2","Joseph","trustrating_stim/white_mw071.bmp","Shared","0.2,0.6","11","0.2","38","7",""
"html-keyboard-response","115","73278","0.0-18.0-2.6","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","2","Joseph","trustrating_stim/white_mw071.bmp","Shared","0.2,0.6","11","0.2","33","7",""
"html-keyboard-response","116","74281","0.0-18.0-3.6","","","","feedback","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","Joseph","trustrating_stim/white_mw071.bmp","Shared","0.2,0.6","11","0.2","43","7",""
"html-keyboard-response","117","74608","0.0-18.0-1.7","","","","decision","","326","","<div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Marcus</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","2","Marcus","trustrating_stim/white_mw099.bmp","Kept","0.4,0.8","12","0.4","48","8",""
"html-keyboard-response","118","74863","0.0-18.0-2.7","","","","decisionFB","","null","","<div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Marcus</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","2","Marcus","trustrating_stim/white_mw099.bmp","Kept","0.4,0.8","12","0.4","45","8",""
