"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","5","0.0-0.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","","","","","","","","","","","","","","","","",""
"instructions","1","2862","0.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","[{""page_index"":0,""viewing_time"":2857}]","2857","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","","fullscreenenter","2","4398","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","5396","0.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","","","","","","true","","","","","","","","","","",""
"instructions","3","19997","0.0-4.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","[{""page_index"":0,""viewing_time"":12105},{""page_index"":1,""viewing_time"":2495}]","14600","","","","","","","","","","","","","","","",""
"instructions","4","22221","0.0-5.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","[{""page_index"":0,""viewing_time"":2223}]","2223","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","22942","0.0-6.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","614","","","","rating","","trustrating_stim/white_mw016.bmp","3","","","","","","","","",""
"image-keyboard-response","6","23146","0.0-6.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","null","","","","ratingFB","","trustrating_stim/white_mw016.bmp","null","","","","","","","","",""
"image-keyboard-response","7","23645","0.0-6.0-1.1","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","394","","","","rating","","trustrating_stim/white_mw049.bmp","4","","","","","","","","",""
"image-keyboard-response","8","23851","0.0-6.0-2.1","dstest","bdp_trlrn","Wed Sep 09 2020 11:48:24 GMT-0400 (Eastern Daylight Time)","468954","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null","","","","","","","","",""
