"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"image-keyboard-response","60","74813","0.0-6.0-2.27","","null","","","","ratingFB","","","trustrating_stim/white_mw016.bmp","null","","","","","","","","",""
"image-keyboard-response","61","75026","0.0-6.0-1.28","","112","","","","rating","","","trustrating_stim/white_mw089.bmp","6","","","","","","","","",""
"image-keyboard-response","62","75228","0.0-6.0-2.28","","null","","","","ratingFB","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","",""
"image-keyboard-response","63","75483","0.0-6.0-1.29","","151","","","","rating","","","trustrating_stim/white_mw084.bmp","4","","","","","","","","",""
"image-keyboard-response","64","75684","0.0-6.0-2.29","","null","","","","ratingFB","","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"image-keyboard-response","65","75827","0.0-6.0-1.30","","38","","","","rating","","","trustrating_stim/white_mw019.bmp","7","","","","","","","","",""
"image-keyboard-response","66","76028","0.0-6.0-2.30","","null","","","","ratingFB","","","trustrating_stim/white_mw019.bmp","null","","","","","","","","",""
"image-keyboard-response","67","76226","0.0-6.0-1.31","","94","","","","rating","","","trustrating_stim/white_mw097.bmp","8","","","","","","","","",""
"image-keyboard-response","68","76427","0.0-6.0-2.31","","null","","","","ratingFB","","","trustrating_stim/white_mw097.bmp","null","","","","","","","","",""
"image-keyboard-response","69","76650","0.0-6.0-1.32","","120","","","","rating","","","trustrating_stim/white_mw072.bmp","6","","","","","","","","",""
"image-keyboard-response","70","76851","0.0-6.0-2.32","","null","","","","ratingFB","","","trustrating_stim/white_mw072.bmp","null","","","","","","","","",""
"image-keyboard-response","71","77050","0.0-6.0-1.33","","93","","","","rating","","","trustrating_stim/white_mw004.bmp","6","","","","","","","","",""
"image-keyboard-response","72","77251","0.0-6.0-2.33","","null","","","","ratingFB","","","trustrating_stim/white_mw004.bmp","null","","","","","","","","",""
"image-keyboard-response","73","77442","0.0-6.0-1.34","","86","","","","rating","","","trustrating_stim/white_00109_931230_fa_edt.bmp","7","","","","","","","","",""
"image-keyboard-response","74","77643","0.0-6.0-2.34","","null","","","","ratingFB","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","75","77859","0.0-6.0-1.35","","112","","","","rating","","","trustrating_stim/white_00657_941121_fa_edt.bmp","7","","","","","","","","",""
"image-keyboard-response","76","78061","0.0-6.0-2.35","","null","","","","ratingFB","","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","77","78283","0.0-6.0-1.36","","119","","","","rating","","","trustrating_stim/white_mw012.bmp","8","","","","","","","","",""
"image-keyboard-response","78","78485","0.0-6.0-2.36","","null","","","","ratingFB","","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"image-keyboard-response","79","78682","0.0-6.0-1.37","","95","","","","rating","","","trustrating_stim/white_mw058.bmp","8","","","","","","","","",""
"image-keyboard-response","80","78883","0.0-6.0-2.37","","null","","","","ratingFB","","","trustrating_stim/white_mw058.bmp","null","","","","","","","","",""
"image-keyboard-response","81","79082","0.0-6.0-1.38","","98","","","","rating","","","trustrating_stim/white_mw046.bmp","8","","","","","","","","",""
"image-keyboard-response","82","79285","0.0-6.0-2.38","","null","","","","ratingFB","","","trustrating_stim/white_mw046.bmp","null","","","","","","","","",""
"image-keyboard-response","83","79476","0.0-6.0-1.39","","90","","","","rating","","","trustrating_stim/white_00757_941201_fa_edt.bmp","8","","","","","","","","",""
"image-keyboard-response","84","79677","0.0-6.0-2.39","","null","","","","ratingFB","","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","",""
"instructions","85","80850","0.0-7.0","[{""page_index"":0,""viewing_time"":1068}]","1068","","","","","","","","","","","","","","","","",""
"instructions","86","163778","0.0-8.0","[{""page_index"":0,""viewing_time"":37065},{""page_index"":1,""viewing_time"":17029},{""page_index"":2,""viewing_time"":5226},{""page_index"":3,""viewing_time"":7382},{""page_index"":4,""viewing_time"":12100},{""page_index"":5,""viewing_time"":2746},{""page_index"":6,""viewing_time"":1275}]","82823","","","","","","","","","","","","","","","","",""
"html-keyboard-response","87","169648","0.0-9.0","","5866","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","",""
"html-keyboard-response","88","170888","0.0-10.0","","1136","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p style='color:#00FF00'>b) 1</p><p>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"html-keyboard-response","89","174791","0.0-11.0","","3802","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","A","","","","","","","","",""
"html-keyboard-response","90","181976","0.0-12.0","","7082","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p style='color:#FF0000'>a) 8</p><p>b) 5</p><p>c) 3</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The maximum number of points you can choose to send to your partner is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"html-keyboard-response","91","184343","0.0-13.0","","2263","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p>c) It quadruples</p>","C","","","","","","","","",""
"html-keyboard-response","92","184936","0.0-14.0","","492","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p style='color:#00FF00'>c) It quadruples</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The amount of points you send to your partner quadruples.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"html-keyboard-response","93","192193","0.0-15.0","","7155","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 out of 5 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p>c) 9</p>","C","","","","","","","","",""
"html-keyboard-response","94","196135","0.0-16.0","","3838","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 2 of 1</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p style='color:#00FF00'>c) 9</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>If you share 4 out of 5 points with your partner and he decided to share half with you, you would receive 8 points back (i.e. (4 x 4)/2 = 8), totaling to 9 points altogether.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"instructions","95","199874","0.0-17.0","[{""page_index"":0,""viewing_time"":3636}]","3636","","","","","","","","","","","","","","","","",""
"html-keyboard-response","96","207791","0.0-18.0-1.0","","7810","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 5</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","5","1"
"html-keyboard-response","97","208794","0.0-18.0-2.0","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 0</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","0","1"
"html-keyboard-response","98","210798","0.0-18.0-3.0","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 10</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","10","1"
"html-keyboard-response","99","214961","0.0-18.0-1.1","","4162","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 15</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.2,0.6","11","0.2","15","2"
"html-keyboard-response","100","215965","0.0-18.0-2.1","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 10</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.2,0.6","11","0.2","10","2"
"html-keyboard-response","101","217969","0.0-18.0-3.1","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 20</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.2,0.6","11","0.2","20","2"
"html-keyboard-response","102","218806","0.0-18.0-1.2","","836","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 25</td><td style='text-align:right'>Round #: 3</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Nathan","trustrating_stim/white_mw071.bmp","Kept","0.8,0.4","12","0.8","25","3"
"html-keyboard-response","103","219812","0.0-18.0-2.2","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 20</td><td style='text-align:right'>Round #: 3</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Nathan","trustrating_stim/white_mw071.bmp","Kept","0.8,0.4","12","0.8","20","3"
"html-keyboard-response","104","221817","0.0-18.0-3.2","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 20</td><td style='text-align:right'>Round #: 3</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Nathan","trustrating_stim/white_mw071.bmp","Kept","0.8,0.4","12","0.8","20","3"
"html-keyboard-response","105","224864","0.0-18.0-1.3","","3046","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 25</td><td style='text-align:right'>Round #: 4</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","25","4"
"html-keyboard-response","106","225866","0.0-18.0-2.3","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 20</td><td style='text-align:right'>Round #: 4</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","20","4"
"html-keyboard-response","107","227868","0.0-18.0-3.3","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 30</td><td style='text-align:right'>Round #: 4</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","30","4"
"html-keyboard-response","108","229926","0.0-18.0-1.4","","2057","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 35</td><td style='text-align:right'>Round #: 5</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","2","Ethan","trustrating_stim/white_mw099.bmp","Kept","0.6,0.2","14","0.6","35","5"
"html-keyboard-response","109","230928","0.0-18.0-2.4","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 30</td><td style='text-align:right'>Round #: 5</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","2","Ethan","trustrating_stim/white_mw099.bmp","Kept","0.6,0.2","14","0.6","30","5"
"html-keyboard-response","110","232930","0.0-18.0-3.4","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 30</td><td style='text-align:right'>Round #: 5</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","2","Ethan","trustrating_stim/white_mw099.bmp","Kept","0.6,0.2","14","0.6","30","5"
"html-keyboard-response","111","234998","0.0-18.0-1.5","","2065","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 35</td><td style='text-align:right'>Round #: 6</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","2","2","Nathan","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","12","0.8","35","6"
"html-keyboard-response","112","235999","0.0-18.0-2.5","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 33</td><td style='text-align:right'>Round #: 6</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L2.png' class='respPic'></p></div>","null","2","Nathan","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","12","0.8","33","6"
"html-keyboard-response","113","238003","0.0-18.0-3.5","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 37</td><td style='text-align:right'>Round #: 6</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Received: <strong>8</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>4</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","2","Nathan","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","12","0.8","37","6"
