"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","10","0.0-0.0","","","","","","","","","",""
"instructions","1","16637","0.0-1.0","[{""page_index"":0,""viewing_time"":16625}]","16625","","","","","","","",""
"","","","","","","fullscreenenter","2","19649","fullscreenenter","","","",""
"fullscreen","2","20645","0.0-2.0","","","","","","","true","","",""
"instructions","3","40819","0.0-4.0","[{""page_index"":0,""viewing_time"":5778},{""page_index"":1,""viewing_time"":14392}]","20171","","","","","","","",""
"instructions","4","41619","0.0-5.0","[{""page_index"":0,""viewing_time"":799}]","799","","","","","","","",""
"image-keyboard-response","5","47400","0.0-6.0-1.0","","5676","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","7",""
"image-keyboard-response","6","47603","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null",""
"image-keyboard-response","7","48525","0.0-6.0-1.1","","819","","","","rating","","trustrating_stim/white_00253_940128_fa_edt.bmp","2",""
"image-keyboard-response","8","48727","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_00253_940128_fa_edt.bmp","null",""
"image-keyboard-response","9","49487","0.0-6.0-1.2","","656","","","","rating","","trustrating_stim/white_mw085.bmp","3",""
"image-keyboard-response","10","49698","0.0-6.0-2.2","","null","","","","ratingFB","","trustrating_stim/white_mw085.bmp","null",""
"image-keyboard-response","11","50542","0.0-6.0-1.3","","742","","","","rating","","trustrating_stim/white_mw084.bmp","1",""
"image-keyboard-response","12","50745","0.0-6.0-2.3","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null",""
"image-keyboard-response","13","51869","0.0-6.0-1.4","","1021","","","","rating","","trustrating_stim/white_mw044.bmp","8",""
"image-keyboard-response","14","52070","0.0-6.0-2.4","","null","","","","ratingFB","","trustrating_stim/white_mw044.bmp","null",""
"image-keyboard-response","15","52872","0.0-6.0-1.5","","700","","","","rating","","trustrating_stim/white_mw097.bmp","3",""
"image-keyboard-response","16","53074","0.0-6.0-2.5","","null","","","","ratingFB","","trustrating_stim/white_mw097.bmp","null",""
"image-keyboard-response","17","53854","0.0-6.0-1.6","","678","","","","rating","","trustrating_stim/white_mw006.bmp","4",""
"image-keyboard-response","18","54057","0.0-6.0-2.6","","null","","","","ratingFB","","trustrating_stim/white_mw006.bmp","null",""
"image-keyboard-response","19","55730","0.0-6.0-1.7","","1571","","","","rating","","trustrating_stim/white_00960_960627_fb_edt.bmp","5",""
"image-keyboard-response","20","55932","0.0-6.0-2.7","","null","","","","ratingFB","","trustrating_stim/white_00960_960627_fb_edt.bmp","null",""
"image-keyboard-response","21","57066","0.0-6.0-1.8","","1031","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","3",""
"image-keyboard-response","22","57267","0.0-6.0-2.8","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null",""
"image-keyboard-response","23","58270","0.0-6.0-1.9","","902","","","","rating","","trustrating_stim/white_mw040.bmp","8",""
"image-keyboard-response","24","58473","0.0-6.0-2.9","","null","","","","ratingFB","","trustrating_stim/white_mw040.bmp","null",""
"image-keyboard-response","25","59444","0.0-6.0-1.10","","855","","","","rating","","trustrating_stim/white_mw019.bmp","3",""
"image-keyboard-response","26","59646","0.0-6.0-2.10","","null","","","","ratingFB","","trustrating_stim/white_mw019.bmp","null",""
"image-keyboard-response","27","61256","0.0-6.0-1.11","","1508","","","","rating","","trustrating_stim/white_mw054.bmp","8",""
"image-keyboard-response","28","61459","0.0-6.0-2.11","","null","","","","ratingFB","","trustrating_stim/white_mw054.bmp","null",""
"image-keyboard-response","29","62483","0.0-6.0-1.12","","922","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","7",""
"image-keyboard-response","30","62687","0.0-6.0-2.12","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null",""
"image-keyboard-response","31","64310","0.0-6.0-1.13","","1520","","","","rating","","trustrating_stim/white_mw025.bmp","5",""
