"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","10","0.0-0.0","","","","","","","","","",""
"instructions","1","5533","0.0-1.0","[{""page_index"":0,""viewing_time"":5522}]","5522","","","","","","","",""
"","","","","","","fullscreenenter","2","9005","fullscreenenter","","","",""
"fullscreen","2","9993","0.0-2.0","","","","","","","true","","",""
"instructions","3","32192","0.0-4.0","[{""page_index"":0,""viewing_time"":13666},{""page_index"":1,""viewing_time"":8531}]","22197","","","","","","","",""
"instructions","4","34088","0.0-5.0","[{""page_index"":0,""viewing_time"":1895}]","1895","","","","","","","",""
"image-keyboard-response","5","37772","0.0-6.0-1.0","","3579","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","5",""
"image-keyboard-response","6","37974","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null",""
"image-keyboard-response","7","39759","0.0-6.0-1.1","","1677","","","","rating","","trustrating_stim/white_00960_960627_fb_edt.bmp","5",""
"image-keyboard-response","8","39962","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_00960_960627_fb_edt.bmp","null",""
"image-keyboard-response","9","42475","0.0-6.0-1.2","","2412","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","5",""
"image-keyboard-response","10","42688","0.0-6.0-2.2","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null",""
"image-keyboard-response","11","44484","0.0-6.0-1.3","","1693","","","","rating","","trustrating_stim/white_mw035.bmp","4",""
"image-keyboard-response","12","44687","0.0-6.0-2.3","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null",""
"image-keyboard-response","13","46615","0.0-6.0-1.4","","1827","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","6",""
"image-keyboard-response","14","46817","0.0-6.0-2.4","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null",""
"image-keyboard-response","15","48963","0.0-6.0-1.5","","2044","","","","rating","","trustrating_stim/white_mw072.bmp","6",""
