"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","5","0.0-0.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","","","","","","","","","","","","","","","","",""
"instructions","1","2261","0.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","[{""page_index"":0,""viewing_time"":2255}]","2255","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","","fullscreenenter","2","7699","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","8681","0.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","","","","","","true","","","","","","","","","","",""
"instructions","3","24517","0.0-4.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","[{""page_index"":0,""viewing_time"":6762},{""page_index"":1,""viewing_time"":9073}]","15835","","","","","","","","","","","","","","","",""
"instructions","4","25460","0.0-5.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","[{""page_index"":0,""viewing_time"":942}]","942","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","26325","0.0-6.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","760","","","","rating","","trustrating_stim/white_mw024.bmp","3","","","","","","","","",""
"image-keyboard-response","6","26527","0.0-6.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","null","","","","ratingFB","","trustrating_stim/white_mw024.bmp","null","","","","","","","","",""
"image-keyboard-response","7","27636","0.0-6.0-1.1","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","1005","","","","rating","","trustrating_stim/white_mw035.bmp","8","","","","","","","","",""
"image-keyboard-response","8","27840","0.0-6.0-2.1","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null","","","","","","","","",""
"image-keyboard-response","9","28309","0.0-6.0-1.2","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","365","","","","rating","","trustrating_stim/white_mw019.bmp","2","","","","","","","","",""
"image-keyboard-response","10","28513","0.0-6.0-2.2","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","null","","","","ratingFB","","trustrating_stim/white_mw019.bmp","null","","","","","","","","",""
"image-keyboard-response","11","28788","0.0-6.0-1.3","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","171","","","","rating","","trustrating_stim/white_00816_941205_fa_edt.bmp","9","","","","","","","","",""
"image-keyboard-response","12","28993","0.0-6.0-2.3","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","null","","","","ratingFB","","trustrating_stim/white_00816_941205_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","13","29268","0.0-6.0-1.4","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","170","","","","rating","","trustrating_stim/white_mw049.bmp","4","","","","","","","","",""
"image-keyboard-response","14","29470","0.0-6.0-2.4","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null","","","","","","","","",""
"instructions","15","30996","0.0-7.0","dstest","bdp_trlrn","Wed Sep 09 2020 11:30:29 GMT-0400 (Eastern Daylight Time)","674084","[{""page_index"":0,""viewing_time"":1422}]","1422","","","","","","","","","","","","","","","",""
