"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","4","0.0-0.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"instructions","1","3440","0.0-1.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":3435}]","3436","","","","","","","","","","","","","","","","",""
"","","","","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","","fullscreenenter","2","7710","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","8676","0.0-2.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","",""
"instructions","3","16892","0.0-4.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2400},{""page_index"":1,""viewing_time"":5814}]","8214","","","","","","","","","","","","","","","","",""
"instructions","4","18093","0.0-5.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1201}]","1201","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","22075","0.0-6.0-1.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","3878","","","","rating","","trustrating_stim/white_00657_941121_fa_edt.bmp","7","","","","","","","","","",""
"image-keyboard-response","6","22279","0.0-6.0-2.0","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","7","24018","0.0-6.0-1.1","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1636","","","","rating","","trustrating_stim/white_mw071.bmp","4","","","","","","","","","",""
"image-keyboard-response","8","24221","0.0-6.0-2.1","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","",""
"image-keyboard-response","9","25426","0.0-6.0-1.2","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1103","","","","rating","","trustrating_stim/white_mw080.bmp","3","","","","","","","","","",""
"image-keyboard-response","10","25628","0.0-6.0-2.2","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw080.bmp","null","","","","","","","","","",""
"image-keyboard-response","11","27485","0.0-6.0-1.3","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1755","","","","rating","","trustrating_stim/white_mw089.bmp","3","","","","","","","","","",""
"image-keyboard-response","12","27688","0.0-6.0-2.3","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","",""
"image-keyboard-response","13","30090","0.0-6.0-1.4","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","2298","","","","rating","","trustrating_stim/white_mw040.bmp","5","","","","","","","","","",""
"image-keyboard-response","14","30291","0.0-6.0-2.4","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw040.bmp","null","","","","","","","","","",""
"image-keyboard-response","15","31969","0.0-6.0-1.5","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1576","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","","",""
"image-keyboard-response","16","32172","0.0-6.0-2.5","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","17","34185","0.0-6.0-1.6","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1912","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","7","","","","","","","","","",""
"image-keyboard-response","18","34391","0.0-6.0-2.6","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","19","36233","0.0-6.0-1.7","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1740","","","","rating","","trustrating_stim/white_mw058.bmp","4","","","","","","","","","",""
"image-keyboard-response","20","36433","0.0-6.0-2.7","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw058.bmp","null","","","","","","","","","",""
"image-keyboard-response","21","38474","0.0-6.0-1.8","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1939","","","","rating","","trustrating_stim/white_00253_940128_fa_edt.bmp","6","","","","","","","","","",""
"image-keyboard-response","22","38678","0.0-6.0-2.8","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","23","40481","0.0-6.0-1.9","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","1699","","","","rating","","trustrating_stim/white_mw082.bmp","8","","","","","","","","","",""
"image-keyboard-response","24","40686","0.0-6.0-2.9","dstesting","bdp_trlrn","Mon May 10 2021 10:55:03 GMT-0400 (Eastern Daylight Time)","564600","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw082.bmp","null","","","","","","","","","",""
