"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","4","0.0-0.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","blur","1","6576","blurevent","1","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","focus","1","33675","focusevent","","","","","","","","","","","","","","",""
"instructions","1","35051","0.0-1.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":35047}]","35047","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","fullscreenenter","2","37009","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","37922","0.0-2.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","fullscreenexit","3","39418","fullscreenexit","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","blur","3","55323","blurevent","2","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","focus","3","104285","focusevent","","","","","","","","","","","","","","",""
"instructions","3","124997","0.0-4.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":66802},{""page_index"":1,""viewing_time"":20272}]","87074","","","","","","","","","","","",""
"instructions","4","127389","0.0-5.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":2391}]","2391","","","","","","","","","","","",""
"image-keyboard-response","5","131317","0.0-6.0-1.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","rating","","","3823","","trustrating_stim/white_mw084.bmp","9","","","","","","","","",""
"image-keyboard-response","6","131523","0.0-6.0-2.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"image-keyboard-response","7","131781","0.0-6.0-1.1","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","rating","","","156","","trustrating_stim/white_00253_940128_fa_edt.bmp","3","","","","","","","","",""
"image-keyboard-response","8","131985","0.0-6.0-2.1","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","9","132413","0.0-6.0-1.2","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","rating","","","323","","trustrating_stim/white_mw035.bmp","9","","","","","","","","",""
"image-keyboard-response","10","132618","0.0-6.0-2.2","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","",""
"image-keyboard-response","11","133021","0.0-6.0-1.3","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","rating","","","301","","trustrating_stim/white_mw022.bmp","4","","","","","","","","",""
"image-keyboard-response","12","133223","0.0-6.0-2.3","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw022.bmp","null","","","","","","","","",""
"image-keyboard-response","13","133637","0.0-6.0-1.4","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","rating","","","310","","trustrating_stim/white_mw006.bmp","2","","","","","","","","",""
"image-keyboard-response","14","133839","0.0-6.0-2.4","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","ratingFB","","","null","","trustrating_stim/white_mw006.bmp","null","","","","","","","","",""
"instructions","15","135270","0.0-7.0","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":1326}]","1327","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","blur","16","167822","blurevent","1","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","focus","16","176688","focusevent","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","blur","16","180086","blurevent","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","focus","16","534642","focusevent","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 16:09:45 GMT-0500 (Eastern Standard Time)","1175922","Untrustworthy,Trustworthy","blur","16","813690","blurevent","","","","","","","","","","","","","","",""
